Wavelength nm.	RawData ...
190.00	0.324585
191.00	0.312134
192.00	0.305420
193.00	0.295410
194.00	0.283325
195.00	0.273438
196.00	0.264648
197.00	0.253540
198.00	0.245850
199.00	0.239990
200.00	0.234253
201.00	0.229736
202.00	0.229126
203.00	0.228027
204.00	0.230469
205.00	0.233032
206.00	0.235107
207.00	0.240356
208.00	0.246704
209.00	0.251465
210.00	0.259033
211.00	0.265259
212.00	0.274170
213.00	0.282349
214.00	0.293091
215.00	0.305420
216.00	0.318237
217.00	0.335571
218.00	0.357422
219.00	0.382324
220.00	0.408447
221.00	0.436035
222.00	0.471558
223.00	0.511963
224.00	0.558838
225.00	0.607910
226.00	0.656616
227.00	0.717163
228.00	0.780151
229.00	0.847778
230.00	0.919800
231.00	0.991211
232.00	1.075073
233.00	1.165894
234.00	1.257568
235.00	1.347534
236.00	1.434326
237.00	1.513306
238.00	1.598389
239.00	1.685791
240.00	1.766235
241.00	1.841553
242.00	1.908569
243.00	1.973511
244.00	2.021118
245.00	2.045532
246.00	2.044800
247.00	2.026611
248.00	1.984131
249.00	1.937012
250.00	1.880493
251.00	1.819458
252.00	1.751709
253.00	1.661011
254.00	1.540039
255.00	1.388916
256.00	1.220825
257.00	1.052002
258.00	0.865479
259.00	0.695557
260.00	0.549438
261.00	0.429810
262.00	0.338867
263.00	0.257568
264.00	0.193237
265.00	0.146729
266.00	0.113892
267.00	0.092651
268.00	0.075317
269.00	0.063965
270.00	0.056274
271.00	0.050903
272.00	0.047852
273.00	0.045410
274.00	0.043823
275.00	0.042725
276.00	0.041626
277.00	0.041504
278.00	0.040894
279.00	0.041504
280.00	0.041992
281.00	0.042114
282.00	0.041626
283.00	0.041870
284.00	0.041748
285.00	0.041626
286.00	0.041504
287.00	0.041260
288.00	0.041870
289.00	0.041382
290.00	0.041382
291.00	0.041016
292.00	0.040649
293.00	0.040527
294.00	0.039917
295.00	0.039429
296.00	0.039185
297.00	0.038574
298.00	0.038330
299.00	0.037476
300.00	0.036621
301.00	0.036255
302.00	0.035645
303.00	0.034790
304.00	0.033569
305.00	0.032593
306.00	0.031738
307.00	0.029541
308.00	0.028931
309.00	0.028076
310.00	0.027588
311.00	0.026123
312.00	0.025635
313.00	0.024780
314.00	0.024170
315.00	0.023193
316.00	0.022583
317.00	0.022217
318.00	0.021240
319.00	0.020264
320.00	0.019775
321.00	0.019165
322.00	0.017578
323.00	0.016113
324.00	0.015991
325.00	0.015259
326.00	0.014648
327.00	0.011963
328.00	0.012695
329.00	0.012817
330.00	0.012085
331.00	0.010986
332.00	0.010620
333.00	0.010498
334.00	0.009521
335.00	0.009033
336.00	0.008179
337.00	0.008179
338.00	0.007813
339.00	0.007202
340.00	0.007080
341.00	0.006836
342.00	0.006104
343.00	0.005859
344.00	0.005493
345.00	0.005737
346.00	0.005249
347.00	0.005249
348.00	0.005493
349.00	0.005371
350.00	0.004761
351.00	0.005005
352.00	0.005371
353.00	0.005371
354.00	0.005127
355.00	0.005005
356.00	0.004517
357.00	0.005737
358.00	0.004883
359.00	0.004883
360.00	0.005859
361.00	0.005615
362.00	0.004883
363.00	0.005737
364.00	0.006104
365.00	0.002930
366.00	-0.001099
367.00	-0.000977
368.00	-0.000732
369.00	-0.000854
370.00	-0.000977
371.00	0.000000
372.00	-0.000488
373.00	-0.000488
374.00	0.000244
375.00	0.000366
376.00	0.000244
377.00	-0.000122
378.00	0.000000
379.00	0.000610
380.00	0.000000
381.00	0.000366
382.00	0.000122
383.00	0.000732
384.00	0.000610
385.00	0.001099
386.00	0.000732
387.00	0.001465
388.00	0.001343
389.00	0.000977
390.00	0.001343
391.00	0.001587
392.00	0.001343
393.00	0.001709
394.00	0.001587
395.00	0.002197
396.00	0.002197
397.00	0.002563
398.00	0.002197
399.00	0.002686
400.00	0.002441
401.00	0.002441
402.00	0.002808
403.00	0.003174
404.00	0.003052
405.00	0.002930
406.00	0.002808
407.00	0.003174
408.00	0.003174
409.00	0.003052
410.00	0.003174
411.00	0.003540
412.00	0.003296
413.00	0.003540
414.00	0.003540
415.00	0.003784
416.00	0.003540
417.00	0.003174
418.00	0.003540
419.00	0.003174
420.00	0.003052
421.00	0.003418
422.00	0.003540
423.00	0.003418
424.00	0.003662
425.00	0.003784
426.00	0.004150
427.00	0.003906
428.00	0.003906
429.00	0.004028
430.00	0.004395
431.00	0.004028
432.00	0.004272
433.00	0.004639
434.00	0.004272
435.00	0.004639
436.00	0.004761
437.00	0.004639
438.00	0.005005
439.00	0.005005
440.00	0.005127
441.00	0.005249
442.00	0.005249
443.00	0.005371
444.00	0.005371
445.00	0.005615
446.00	0.005371
447.00	0.005371
448.00	0.005005
449.00	0.004761
450.00	0.004517
451.00	0.004150
452.00	0.004028
453.00	0.004028
454.00	0.004028
455.00	0.003662
456.00	0.003540
457.00	0.004150
458.00	0.004028
459.00	0.003784
460.00	0.003906
461.00	0.004028
462.00	0.004150
463.00	0.004150
464.00	0.004150
465.00	0.004150
466.00	0.004395
467.00	0.004395
468.00	0.003906
469.00	0.004150
470.00	0.004150
471.00	0.003906
472.00	0.003906
473.00	0.003662
474.00	0.003906
475.00	0.003784
476.00	0.003662
477.00	0.003784
478.00	0.004028
479.00	0.003662
480.00	0.004028
481.00	0.004028
482.00	0.003784
483.00	0.003662
484.00	0.003906
485.00	0.003662
486.00	0.003906
487.00	0.003662
488.00	0.003784
489.00	0.003784
490.00	0.003784
491.00	0.003418
492.00	0.003662
493.00	0.003662
494.00	0.003906
495.00	0.003784
496.00	0.003540
497.00	0.003784
498.00	0.003662
499.00	0.003784
500.00	0.003784
501.00	0.003784
502.00	0.003784
503.00	0.003418
504.00	0.003418
505.00	0.003418
506.00	0.003662
507.00	0.003418
508.00	0.003540
509.00	0.003540
510.00	0.003540
511.00	0.003662
512.00	0.003174
513.00	0.003540
514.00	0.003418
515.00	0.003540
516.00	0.003540
517.00	0.003296
518.00	0.003052
519.00	0.003052
520.00	0.003052
521.00	0.003052
522.00	0.003052
523.00	0.003052
524.00	0.003174
525.00	0.003052
526.00	0.003052
527.00	0.002808
528.00	0.002808
529.00	0.002808
530.00	0.003052
531.00	0.002808
532.00	0.002686
533.00	0.002930
534.00	0.002686
535.00	0.002930
536.00	0.002563
537.00	0.001343
538.00	0.000977
539.00	0.001099
540.00	0.001221
541.00	0.001465
542.00	0.001221
543.00	0.001343
544.00	0.001465
545.00	0.001587
546.00	0.001343
547.00	0.001343
548.00	0.001343
549.00	0.001587
550.00	0.001465
551.00	0.001221
552.00	0.001343
553.00	0.001465
554.00	0.001099
555.00	0.001221
556.00	0.001099
557.00	0.001099
558.00	0.001099
559.00	0.000854
560.00	0.000977
561.00	0.001221
562.00	0.000854
563.00	0.000732
564.00	0.000854
565.00	0.000854
566.00	0.000732
567.00	0.000610
568.00	0.000732
569.00	0.000610
570.00	0.000488
571.00	0.000488
572.00	0.000488
573.00	0.000488
574.00	0.000366
575.00	0.000366
576.00	0.000366
577.00	0.000244
578.00	0.000122
579.00	0.000122
580.00	0.000366
581.00	0.000122
582.00	0.000122
583.00	0.000000
584.00	0.000000
585.00	0.000000
586.00	0.000000
587.00	0.000000
588.00	0.000000
589.00	0.000000
590.00	0.000000
591.00	0.000000
592.00	0.000000
593.00	0.000000
594.00	0.000000
595.00	0.000000
596.00	-0.000122
597.00	0.000000
598.00	0.000000
599.00	0.000000
600.00	-0.000122
601.00	-0.000244
602.00	-0.000244
603.00	-0.000244
604.00	-0.000366
605.00	-0.000366
606.00	-0.000610
607.00	-0.000122
608.00	-0.000244
609.00	-0.000244
610.00	-0.000366
611.00	-0.000610
612.00	-0.000488
613.00	-0.000244
614.00	-0.000366
615.00	-0.000488
616.00	-0.000488
617.00	-0.000488
618.00	-0.000610
619.00	-0.000610
620.00	-0.000488
621.00	-0.000488
622.00	-0.000610
623.00	-0.000732
624.00	-0.000854
625.00	-0.000732
626.00	-0.000610
627.00	-0.000366
628.00	-0.000610
629.00	-0.000732
630.00	-0.000732
631.00	-0.000732
632.00	-0.000732
633.00	-0.000854
634.00	-0.000977
635.00	-0.001099
636.00	-0.001221
637.00	-0.001099
638.00	-0.001343
639.00	-0.001221
640.00	-0.000732
641.00	-0.000977
642.00	-0.000854
643.00	-0.001221
644.00	-0.000977
645.00	-0.000854
646.00	-0.000977
647.00	-0.000977
648.00	-0.000854
649.00	-0.000854
650.00	-0.001099
651.00	-0.000977
652.00	-0.000854
653.00	-0.000854
654.00	-0.000854
655.00	-0.000854
656.00	-0.001099
