Wavelength nm.	RawData ...
200.00	-0.114014
201.00	-0.113159
202.00	-0.113159
203.00	-0.114014
204.00	-0.113892
205.00	-0.113159
206.00	-0.112915
207.00	-0.113281
208.00	-0.112671
209.00	-0.111572
210.00	-0.110352
211.00	-0.110840
212.00	-0.109009
213.00	-0.108276
214.00	-0.106812
215.00	-0.104492
216.00	-0.103394
217.00	-0.100342
218.00	-0.097534
219.00	-0.093872
220.00	-0.090088
221.00	-0.086060
222.00	-0.080566
223.00	-0.075562
224.00	-0.068726
225.00	-0.061646
226.00	-0.054810
227.00	-0.046143
228.00	-0.037109
229.00	-0.027832
230.00	-0.017334
231.00	-0.006470
232.00	0.004883
233.00	0.017090
234.00	0.029785
235.00	0.042358
236.00	0.053955
237.00	0.065063
238.00	0.076782
239.00	0.088379
240.00	0.099976
241.00	0.110474
242.00	0.119385
243.00	0.128906
244.00	0.135742
245.00	0.139160
246.00	0.140381
247.00	0.138672
248.00	0.133667
249.00	0.127075
250.00	0.119507
251.00	0.111694
252.00	0.103394
253.00	0.092285
254.00	0.079102
255.00	0.062256
256.00	0.042969
257.00	0.022461
258.00	-0.002930
259.00	-0.028809
260.00	-0.052612
261.00	-0.072510
262.00	-0.087891
263.00	-0.101807
264.00	-0.112427
265.00	-0.120483
266.00	-0.125366
267.00	-0.128662
268.00	-0.131104
269.00	-0.133667
270.00	-0.134277
271.00	-0.135132
272.00	-0.135742
273.00	-0.135742
274.00	-0.136108
275.00	-0.135986
276.00	-0.135986
277.00	-0.135864
278.00	-0.135986
279.00	-0.135620
280.00	-0.136230
281.00	-0.136108
282.00	-0.135986
283.00	-0.135742
284.00	-0.135864
285.00	-0.135986
286.00	-0.135742
287.00	-0.135620
288.00	-0.135986
289.00	-0.135620
290.00	-0.135376
291.00	-0.136108
292.00	-0.135376
293.00	-0.135132
294.00	-0.135376
295.00	-0.135620
296.00	-0.135620
297.00	-0.135864
298.00	-0.135620
299.00	-0.135010
300.00	-0.135742
301.00	-0.135620
302.00	-0.135986
303.00	-0.135864
304.00	-0.135254
305.00	-0.135620
306.00	-0.136353
307.00	-0.136597
308.00	-0.136597
309.00	-0.136963
310.00	-0.136963
311.00	-0.136841
312.00	-0.137329
313.00	-0.136841
314.00	-0.136963
315.00	-0.137329
316.00	-0.138184
317.00	-0.137695
318.00	-0.137329
319.00	-0.137451
320.00	-0.137939
321.00	-0.137817
322.00	-0.137695
323.00	-0.138428
324.00	-0.137939
325.00	-0.138306
326.00	-0.138550
327.00	-0.137573
328.00	-0.137817
329.00	-0.138306
330.00	-0.139160
331.00	-0.139038
332.00	-0.138550
333.00	-0.138916
334.00	-0.139038
335.00	-0.139282
336.00	-0.139038
337.00	-0.138916
338.00	-0.139282
339.00	-0.139526
340.00	-0.139526
341.00	-0.139282
342.00	-0.139404
343.00	-0.139771
344.00	-0.140015
345.00	-0.139771
346.00	-0.139404
347.00	-0.139038
348.00	-0.139893
349.00	-0.139893
350.00	-0.140015
351.00	-0.140137
352.00	-0.139771
353.00	-0.140015
354.00	-0.139404
355.00	-0.139648
356.00	-0.140259
357.00	-0.140381
358.00	-0.139160
359.00	-0.139893
360.00	-0.140381
361.00	-0.139893
362.00	-0.140259
363.00	-0.139893
364.00	-0.140259
365.00	-0.140747
366.00	-0.139648
367.00	-0.139282
368.00	-0.138916
369.00	-0.138916
370.00	-0.139648
371.00	-0.139648
372.00	-0.139526
373.00	-0.138672
374.00	-0.138916
375.00	-0.139526
376.00	-0.139038
377.00	-0.138916
378.00	-0.139526
379.00	-0.138794
380.00	-0.139404
381.00	-0.138794
382.00	-0.138672
383.00	-0.139526
384.00	-0.139282
385.00	-0.138794
386.00	-0.139526
387.00	-0.139404
388.00	-0.139282
389.00	-0.139160
390.00	-0.139526
391.00	-0.138794
392.00	-0.139282
393.00	-0.139160
394.00	-0.139404
395.00	-0.139526
396.00	-0.139526
397.00	-0.139038
398.00	-0.139526
399.00	-0.139526
400.00	-0.139282
401.00	-0.139282
402.00	-0.139526
403.00	-0.139282
404.00	-0.139160
405.00	-0.139282
406.00	-0.139160
407.00	-0.139404
408.00	-0.139404
409.00	-0.139160
410.00	-0.139526
411.00	-0.139282
412.00	-0.139282
413.00	-0.139038
414.00	-0.139404
415.00	-0.139038
416.00	-0.138916
417.00	-0.139160
418.00	-0.139282
419.00	-0.139160
420.00	-0.138916
421.00	-0.139160
422.00	-0.139160
423.00	-0.139160
424.00	-0.139160
425.00	-0.138794
426.00	-0.139160
427.00	-0.138916
428.00	-0.138672
429.00	-0.139038
430.00	-0.139160
431.00	-0.139038
432.00	-0.138672
433.00	-0.138916
434.00	-0.138794
435.00	-0.138672
436.00	-0.138794
437.00	-0.138794
438.00	-0.138672
439.00	-0.138794
440.00	-0.138550
441.00	-0.138550
442.00	-0.138672
443.00	-0.138672
444.00	-0.138794
