Wavelength nm.	RawData ...
190.00	0.587402
191.00	0.569946
192.00	0.544067
193.00	0.509766
194.00	0.469482
195.00	0.418335
196.00	0.367188
197.00	0.318970
198.00	0.267212
199.00	0.223389
200.00	0.186646
201.00	0.150757
202.00	0.125977
203.00	0.107666
204.00	0.093872
205.00	0.086182
206.00	0.079956
207.00	0.076416
208.00	0.075928
209.00	0.075562
210.00	0.076782
211.00	0.077026
212.00	0.078491
213.00	0.079102
214.00	0.080078
215.00	0.082764
216.00	0.083862
217.00	0.085815
218.00	0.087280
219.00	0.088989
220.00	0.090454
221.00	0.090942
222.00	0.090454
223.00	0.089478
224.00	0.086426
225.00	0.082886
226.00	0.078369
227.00	0.073364
228.00	0.066895
229.00	0.060669
230.00	0.055054
231.00	0.049316
232.00	0.043701
233.00	0.038940
234.00	0.034302
235.00	0.030762
236.00	0.028076
237.00	0.026001
238.00	0.023193
239.00	0.021240
240.00	0.019653
241.00	0.018677
242.00	0.018188
243.00	0.017334
244.00	0.015991
245.00	0.015503
246.00	0.015137
247.00	0.015259
248.00	0.015015
249.00	0.014526
250.00	0.014282
251.00	0.013672
252.00	0.014160
253.00	0.013916
254.00	0.013794
255.00	0.014282
256.00	0.014404
257.00	0.014526
258.00	0.014526
259.00	0.014893
260.00	0.014771
261.00	0.015259
262.00	0.015381
263.00	0.015991
264.00	0.016846
265.00	0.018188
266.00	0.018433
267.00	0.020142
268.00	0.020752
269.00	0.022095
270.00	0.023682
271.00	0.024902
272.00	0.026001
273.00	0.028076
274.00	0.029419
275.00	0.030273
276.00	0.032104
277.00	0.034180
278.00	0.035645
279.00	0.037476
280.00	0.039063
281.00	0.041016
282.00	0.042725
283.00	0.043823
284.00	0.045044
285.00	0.045776
286.00	0.046753
287.00	0.045898
288.00	0.046509
289.00	0.046143
290.00	0.045898
291.00	0.044434
292.00	0.043091
293.00	0.042603
294.00	0.040527
295.00	0.038818
296.00	0.036377
297.00	0.034302
298.00	0.031982
299.00	0.029663
300.00	0.026855
301.00	0.024048
302.00	0.020630
303.00	0.018555
304.00	0.016357
305.00	0.013916
306.00	0.012085
307.00	0.009277
308.00	0.008301
309.00	0.007202
310.00	0.005859
311.00	0.005371
312.00	0.005005
313.00	0.004150
314.00	0.004028
315.00	0.003540
316.00	0.003906
317.00	0.003662
318.00	0.003418
319.00	0.003052
320.00	0.003296
321.00	0.003052
322.00	0.003052
323.00	0.003662
324.00	0.003540
325.00	0.003662
326.00	0.003174
327.00	0.003052
328.00	0.002686
329.00	0.003418
330.00	0.003174
331.00	0.002930
332.00	0.003418
333.00	0.002808
334.00	0.002808
335.00	0.002686
336.00	0.003052
337.00	0.003296
338.00	0.002930
339.00	0.003052
340.00	0.002808
341.00	0.002808
342.00	0.002808
343.00	0.002563
344.00	0.002686
345.00	0.002441
346.00	0.002563
347.00	0.002441
348.00	0.002808
349.00	0.002930
350.00	0.002563
351.00	0.002563
352.00	0.003052
353.00	0.002563
354.00	0.003052
355.00	0.002197
356.00	0.002686
357.00	0.003296
358.00	0.002930
359.00	0.003052
360.00	0.003906
361.00	0.003296
362.00	0.003052
363.00	0.002930
364.00	0.002686
365.00	0.002563
366.00	-0.001465
367.00	-0.000488
368.00	-0.000610
369.00	-0.001099
370.00	-0.000732
371.00	-0.000610
372.00	-0.001099
373.00	-0.000977
374.00	-0.000488
375.00	-0.000610
376.00	-0.000854
377.00	-0.000977
378.00	-0.001099
379.00	-0.000488
380.00	-0.000977
381.00	-0.000854
382.00	-0.000610
383.00	-0.000610
384.00	-0.000854
385.00	-0.000244
386.00	-0.000732
387.00	-0.000122
388.00	-0.000488
389.00	-0.000732
390.00	-0.000610
391.00	0.000000
392.00	-0.000488
393.00	-0.000244
394.00	-0.000244
395.00	0.000000
396.00	-0.000122
397.00	0.000000
398.00	-0.000244
399.00	0.000000
400.00	-0.000244
401.00	0.000000
402.00	-0.000122
403.00	0.000000
404.00	0.000000
405.00	0.000000
406.00	0.000000
407.00	0.000122
408.00	0.000000
409.00	0.000000
410.00	0.000000
411.00	0.000122
412.00	0.000000
413.00	0.000000
414.00	0.000000
415.00	0.000244
416.00	0.000122
417.00	-0.000122
418.00	0.000000
419.00	-0.000122
420.00	0.000000
421.00	-0.000122
422.00	0.000000
423.00	0.000000
424.00	-0.000122
425.00	0.000122
426.00	0.000244
427.00	0.000000
428.00	0.000000
429.00	0.000000
430.00	0.000000
431.00	0.000000
432.00	0.000122
433.00	0.000000
434.00	0.000366
435.00	0.000366
436.00	0.000244
437.00	0.000488
438.00	0.000610
439.00	0.000854
440.00	0.000854
441.00	0.000854
442.00	0.000977
443.00	0.001099
444.00	0.001099
445.00	0.001099
446.00	0.000977
447.00	0.000854
448.00	0.000488
449.00	0.000244
450.00	0.000366
451.00	0.000000
452.00	0.000000
453.00	-0.000244
454.00	-0.000122
455.00	-0.000488
456.00	-0.000366
457.00	0.000000
458.00	-0.000244
459.00	-0.000366
460.00	-0.000366
461.00	-0.000122
462.00	0.000000
463.00	0.000000
464.00	0.000122
