Wavelength nm.	RawData ...
190.00	1.994019
191.00	2.109375
192.00	2.226318
193.00	2.304077
194.00	2.359741
195.00	2.400269
196.00	2.420044
197.00	2.395752
198.00	2.286255
199.00	2.096924
200.00	1.852539
201.00	1.583862
202.00	1.349854
203.00	1.167236
204.00	1.008301
205.00	0.887573
206.00	0.800903
207.00	0.732178
208.00	0.686035
209.00	0.656128
210.00	0.640869
211.00	0.631714
212.00	0.628174
213.00	0.626221
214.00	0.624146
215.00	0.621826
216.00	0.614502
217.00	0.599365
218.00	0.577026
219.00	0.548828
220.00	0.515259
221.00	0.481567
222.00	0.442749
223.00	0.402344
224.00	0.362915
225.00	0.326538
226.00	0.291260
227.00	0.254272
228.00	0.220825
229.00	0.188354
230.00	0.160034
231.00	0.135376
232.00	0.111694
233.00	0.091797
234.00	0.075806
235.00	0.062744
236.00	0.052124
237.00	0.044189
238.00	0.037476
239.00	0.031982
240.00	0.027710
241.00	0.025269
242.00	0.023071
243.00	0.021362
244.00	0.020630
245.00	0.020996
246.00	0.021118
247.00	0.022095
248.00	0.023804
249.00	0.025635
250.00	0.028687
251.00	0.032227
252.00	0.035278
253.00	0.040283
254.00	0.045288
255.00	0.051025
256.00	0.057129
257.00	0.064087
258.00	0.072144
259.00	0.081421
260.00	0.090454
261.00	0.100586
262.00	0.110962
263.00	0.122437
264.00	0.134277
265.00	0.147827
266.00	0.159668
267.00	0.171387
268.00	0.183838
269.00	0.195313
270.00	0.207397
271.00	0.216431
272.00	0.224121
273.00	0.231201
274.00	0.235596
275.00	0.236938
276.00	0.234985
277.00	0.230591
278.00	0.223999
279.00	0.214844
280.00	0.202271
281.00	0.186035
282.00	0.168091
283.00	0.149658
284.00	0.126343
285.00	0.102295
286.00	0.080078
287.00	0.060425
288.00	0.045166
289.00	0.031982
290.00	0.020752
291.00	0.013062
292.00	0.007568
293.00	0.005127
294.00	0.002197
295.00	0.001221
296.00	0.000000
297.00	-0.000366
298.00	-0.000366
299.00	-0.000977
300.00	-0.000732
301.00	-0.000977
302.00	-0.000854
303.00	-0.000610
304.00	-0.001343
305.00	-0.000610
306.00	-0.000610
307.00	-0.001465
308.00	-0.001343
309.00	-0.001099
310.00	-0.001099
311.00	-0.000977
312.00	-0.001221
313.00	-0.001587
314.00	-0.001099
315.00	-0.001343
316.00	0.000366
317.00	0.000122
318.00	0.000000
319.00	-0.000854
320.00	-0.000977
321.00	-0.000488
322.00	-0.001221
323.00	-0.000854
324.00	-0.001099
325.00	-0.000854
326.00	-0.001343
327.00	-0.001343
328.00	-0.000977
329.00	-0.000854
330.00	-0.000854
331.00	-0.000732
332.00	-0.000366
333.00	-0.000977
334.00	-0.000610
335.00	-0.001343
336.00	-0.001709
337.00	-0.001343
338.00	-0.001343
339.00	-0.001343
340.00	-0.000977
341.00	-0.001099
342.00	-0.000977
343.00	-0.001465
344.00	-0.001709
345.00	-0.001953
346.00	-0.001343
347.00	-0.001709
348.00	-0.001343
349.00	-0.001221
350.00	-0.001221
351.00	-0.001099
352.00	-0.001953
353.00	-0.001343
354.00	-0.001343
355.00	-0.001343
356.00	-0.001343
357.00	-0.000732
358.00	-0.001099
359.00	-0.001465
360.00	-0.000488
361.00	0.000000
362.00	-0.001099
363.00	-0.001221
364.00	-0.000977
365.00	-0.000244
366.00	-0.002563
367.00	-0.001953
368.00	-0.002075
369.00	-0.002563
370.00	-0.002319
371.00	-0.002075
372.00	-0.002441
373.00	-0.002197
374.00	-0.001587
375.00	-0.001831
376.00	-0.001953
377.00	-0.002197
378.00	-0.002197
379.00	-0.001587
380.00	-0.002319
381.00	-0.002441
382.00	-0.001831
383.00	-0.001709
384.00	-0.002319
385.00	-0.001465
386.00	-0.001953
387.00	-0.001465
388.00	-0.001953
389.00	-0.001709
390.00	-0.001953
391.00	-0.001343
392.00	-0.001831
393.00	-0.001709
394.00	-0.001465
395.00	-0.001221
396.00	-0.001953
397.00	-0.001099
398.00	-0.001465
399.00	-0.001099
400.00	-0.001343
401.00	-0.001465
402.00	-0.001343
403.00	-0.001099
404.00	-0.001221
405.00	-0.001221
406.00	-0.001221
407.00	-0.001099
408.00	-0.001099
409.00	-0.001099
410.00	-0.001221
411.00	-0.001099
412.00	-0.000977
413.00	-0.001343
414.00	-0.001099
415.00	-0.000977
416.00	-0.000977
417.00	-0.001587
418.00	-0.001343
419.00	-0.001465
420.00	-0.001465
421.00	-0.001465
422.00	-0.001343
423.00	-0.001465
424.00	-0.001587
425.00	-0.001099
426.00	-0.000977
427.00	-0.001099
428.00	-0.001099
429.00	-0.001343
430.00	-0.000977
431.00	-0.000977
432.00	-0.000977
433.00	-0.001099
434.00	-0.000977
435.00	-0.000732
436.00	-0.000732
437.00	-0.000610
438.00	-0.000610
439.00	-0.000977
440.00	-0.000610
441.00	-0.000488
442.00	-0.000610
443.00	-0.000366
444.00	-0.000488
445.00	-0.000122
446.00	-0.000366
447.00	-0.000732
448.00	-0.000854
449.00	-0.000977
450.00	-0.001099
451.00	-0.000977
452.00	-0.001343
453.00	-0.001343
454.00	-0.001221
455.00	-0.001465
456.00	-0.001221
457.00	-0.001099
458.00	-0.001221
459.00	-0.001343
460.00	-0.001221
461.00	-0.001221
462.00	-0.000977
463.00	-0.001221
464.00	-0.001099
465.00	-0.000977
466.00	-0.001221
467.00	-0.001099
468.00	-0.000977
469.00	-0.000977
470.00	-0.000977
471.00	-0.000977
472.00	-0.001221
473.00	-0.001221
474.00	-0.001099
475.00	-0.001465
476.00	-0.001343
477.00	-0.001221
478.00	-0.001221
479.00	-0.001221
480.00	-0.001099
481.00	-0.001221
482.00	-0.001099
483.00	-0.001099
484.00	-0.001099
485.00	-0.001099
486.00	-0.000854
487.00	-0.001099
488.00	-0.001221
489.00	-0.001099
490.00	-0.000854
491.00	-0.001099
492.00	-0.001099
493.00	-0.001099
494.00	-0.000977
495.00	-0.001099
496.00	-0.001099
497.00	-0.000854
498.00	-0.000854
499.00	-0.000977
500.00	-0.001221
501.00	-0.001099
502.00	-0.000732
503.00	-0.000732
504.00	-0.000732
505.00	-0.000977
506.00	-0.000854
507.00	-0.000854
508.00	-0.000854
509.00	-0.000732
510.00	-0.000977
511.00	-0.000977
512.00	-0.000977
513.00	-0.000610
514.00	-0.000854
515.00	-0.000854
516.00	-0.000854
517.00	-0.000610
518.00	-0.000488
519.00	-0.000610
520.00	-0.000610
521.00	-0.000732
522.00	-0.000732
523.00	-0.000732
524.00	-0.000610
525.00	-0.000610
526.00	-0.000610
527.00	-0.000732
528.00	-0.000610
529.00	-0.000732
530.00	-0.000732
531.00	-0.000854
532.00	-0.000366
533.00	-0.000488
534.00	-0.000732
535.00	-0.000488
536.00	-0.000488
537.00	-0.000977
538.00	-0.000732
539.00	-0.001099
540.00	-0.001221
541.00	-0.000977
542.00	-0.000854
543.00	-0.000977
544.00	-0.000854
545.00	-0.000977
546.00	-0.001343
547.00	-0.001221
548.00	-0.001099
549.00	-0.000854
550.00	-0.000977
551.00	-0.001099
552.00	-0.001221
553.00	-0.000854
554.00	-0.000977
555.00	-0.001221
556.00	-0.001099
557.00	-0.001221
558.00	-0.001099
559.00	-0.001099
560.00	-0.001099
561.00	-0.000977
562.00	-0.001099
563.00	-0.001099
564.00	-0.000977
565.00	-0.000977
566.00	-0.000977
567.00	-0.000854
568.00	-0.000977
569.00	-0.001099
570.00	-0.001099
571.00	-0.001099
572.00	-0.000977
573.00	-0.000977
574.00	-0.001099
575.00	-0.000977
576.00	-0.000977
577.00	-0.000977
578.00	-0.000977
579.00	-0.000977
580.00	-0.001099
581.00	-0.001099
582.00	-0.001099
583.00	-0.001099
584.00	-0.001099
585.00	-0.001099
586.00	-0.001221
587.00	-0.000977
588.00	-0.000854
589.00	-0.000977
590.00	-0.000977
591.00	-0.001099
592.00	-0.001099
593.00	-0.000977
594.00	-0.001099
595.00	-0.001343
596.00	-0.001221
597.00	-0.000977
598.00	-0.000977
599.00	-0.000977
600.00	-0.000854
601.00	-0.000732
602.00	-0.000977
603.00	-0.001099
604.00	-0.001221
605.00	-0.000977
606.00	-0.001099
607.00	-0.001099
608.00	-0.001099
609.00	-0.001099
610.00	-0.000854
611.00	-0.001099
612.00	-0.000977
613.00	-0.000977
614.00	-0.001221
615.00	-0.001099
616.00	-0.001221
617.00	-0.001099
618.00	-0.001099
619.00	-0.001099
620.00	-0.000977
621.00	-0.001099
622.00	-0.001099
623.00	-0.001221
624.00	-0.001343
625.00	-0.001221
626.00	-0.001221
627.00	-0.001099
628.00	-0.001221
629.00	-0.001221
630.00	-0.001099
631.00	-0.000977
632.00	-0.001099
633.00	-0.001099
634.00	-0.001099
635.00	-0.001221
636.00	-0.001343
637.00	-0.001343
638.00	-0.001465
639.00	-0.001465
640.00	-0.001099
641.00	-0.000977
642.00	-0.001221
643.00	-0.001099
644.00	-0.000977
645.00	-0.000977
646.00	-0.000977
647.00	-0.000854
648.00	-0.000854
649.00	-0.000854
650.00	-0.000854
651.00	-0.000732
652.00	-0.000854
653.00	-0.000732
654.00	-0.000732
655.00	-0.000977
656.00	-0.000977
657.00	-0.000854
658.00	-0.000732
659.00	-0.000977
660.00	-0.000854
661.00	-0.000732
662.00	-0.000732
663.00	-0.000977
664.00	-0.000977
665.00	-0.000977
666.00	-0.000854
667.00	-0.000854
668.00	-0.000854
669.00	-0.000854
670.00	-0.000854
671.00	-0.000854
672.00	-0.000854
673.00	-0.000732
674.00	-0.000854
675.00	-0.000854
676.00	-0.000732
677.00	-0.000732
678.00	-0.000732
679.00	-0.000732
680.00	-0.000610
681.00	-0.000610
682.00	-0.000854
683.00	-0.000488
684.00	-0.000732
685.00	-0.000732
686.00	-0.000732
687.00	-0.000854
688.00	-0.000854
689.00	-0.000732
690.00	-0.000732
691.00	-0.000854
692.00	-0.000854
693.00	-0.000854
694.00	-0.000732
695.00	-0.000732
696.00	-0.000610
697.00	-0.000732
698.00	-0.000732
699.00	-0.000854
700.00	-0.000854
701.00	-0.000854
702.00	-0.000732
703.00	-0.000732
704.00	-0.000732
705.00	-0.000732
706.00	-0.000854
707.00	-0.000732
708.00	-0.000854
709.00	-0.000854
710.00	-0.000732
711.00	-0.000732
712.00	-0.000854
713.00	-0.000854
714.00	-0.000610
715.00	-0.000854
716.00	-0.000732
717.00	-0.000732
718.00	-0.000854
719.00	-0.000610
720.00	-0.000610
721.00	-0.000854
722.00	-0.000854
723.00	-0.000732
724.00	-0.000610
725.00	-0.000732
726.00	-0.000732
727.00	-0.000732
728.00	-0.000610
729.00	-0.000488
730.00	-0.000732
731.00	-0.000732
732.00	-0.000732
733.00	-0.000610
734.00	-0.000732
735.00	-0.000610
736.00	-0.000854
737.00	-0.000732
738.00	-0.000732
739.00	-0.000732
740.00	-0.000854
741.00	-0.000732
742.00	-0.000732
743.00	-0.000854
744.00	-0.000732
745.00	-0.000732
746.00	-0.000854
747.00	-0.000732
748.00	-0.000732
749.00	-0.000854
750.00	-0.000854
751.00	-0.000854
752.00	-0.000854
753.00	-0.000732
754.00	-0.000732
755.00	-0.000854
756.00	-0.000732
757.00	-0.000977
758.00	-0.000610
759.00	-0.000732
760.00	-0.000854
761.00	-0.000732
762.00	-0.000977
763.00	-0.000854
764.00	-0.000854
765.00	-0.000732
766.00	-0.000732
767.00	-0.000977
768.00	-0.000977
769.00	-0.000854
770.00	-0.000732
771.00	-0.001099
772.00	-0.000977
773.00	-0.000854
774.00	-0.000977
775.00	-0.000977
776.00	-0.000977
777.00	-0.000854
778.00	-0.000977
779.00	-0.001099
780.00	-0.000977
781.00	-0.000977
782.00	-0.000977
783.00	-0.000977
784.00	-0.000977
785.00	-0.000977
786.00	-0.001099
787.00	-0.001099
788.00	-0.001099
789.00	-0.001099
790.00	-0.000977
791.00	-0.001099
792.00	-0.001099
793.00	-0.001099
794.00	-0.001221
795.00	-0.001099
796.00	-0.001099
797.00	-0.001099
798.00	-0.001099
799.00	-0.001221
800.00	-0.001343
801.00	-0.001221
802.00	-0.001099
803.00	-0.001343
804.00	-0.001099
805.00	-0.001221
806.00	-0.001099
807.00	-0.001221
808.00	-0.001221
809.00	-0.001099
810.00	-0.001099
811.00	-0.001221
812.00	-0.001221
813.00	-0.001221
814.00	-0.000977
815.00	-0.000977
816.00	-0.001099
817.00	-0.001221
818.00	-0.001099
819.00	-0.001221
820.00	-0.001099
821.00	-0.001099
822.00	-0.001099
823.00	-0.001099
824.00	-0.000854
825.00	-0.000854
826.00	-0.001099
827.00	-0.001099
828.00	-0.001099
829.00	-0.000977
830.00	-0.000854
831.00	-0.000977
832.00	-0.000977
833.00	-0.000977
834.00	-0.000977
835.00	-0.001099
836.00	-0.000977
837.00	-0.000977
838.00	-0.000977
839.00	-0.001099
840.00	-0.000977
841.00	-0.000977
842.00	-0.000977
843.00	-0.000977
844.00	-0.000854
845.00	-0.000977
846.00	-0.000977
847.00	-0.000977
848.00	-0.000854
849.00	-0.000977
850.00	-0.000854
851.00	-0.000977
852.00	-0.001099
853.00	-0.001099
854.00	-0.000854
855.00	-0.001099
856.00	-0.000732
857.00	-0.000732
858.00	-0.000977
859.00	-0.000854
860.00	-0.000977
861.00	-0.000977
862.00	-0.001099
863.00	-0.000977
864.00	-0.000854
865.00	-0.000977
866.00	-0.000854
867.00	-0.000977
868.00	-0.000732
869.00	-0.000854
870.00	-0.001099
871.00	-0.000977
872.00	-0.000854
873.00	-0.000732
874.00	-0.000977
875.00	-0.000977
876.00	-0.000977
877.00	-0.000854
878.00	-0.000977
879.00	-0.000854
