Wavelength nm.	RawData ...
190.00	2.177124
191.00	2.292358
192.00	2.409302
193.00	2.500366
194.00	2.529419
195.00	2.594849
196.00	2.649292
197.00	2.651001
198.00	2.654175
199.00	2.686768
200.00	2.639648
201.00	2.529297
202.00	2.363525
203.00	2.160034
204.00	1.952881
205.00	1.786011
206.00	1.652344
207.00	1.543823
208.00	1.464966
209.00	1.411865
210.00	1.381592
211.00	1.362183
212.00	1.350098
213.00	1.341675
214.00	1.333862
215.00	1.322388
216.00	1.303589
217.00	1.265869
218.00	1.212891
219.00	1.146606
220.00	1.073120
221.00	1.000244
222.00	0.916626
223.00	0.832397
224.00	0.750366
225.00	0.672974
226.00	0.600830
227.00	0.525024
228.00	0.454102
229.00	0.388306
230.00	0.330566
231.00	0.280884
232.00	0.234009
233.00	0.194336
234.00	0.160767
235.00	0.134766
236.00	0.113281
237.00	0.096924
238.00	0.083008
239.00	0.071533
240.00	0.062500
241.00	0.056396
242.00	0.052490
243.00	0.049561
244.00	0.047485
245.00	0.047607
246.00	0.048340
247.00	0.050415
248.00	0.053223
249.00	0.057739
250.00	0.063232
251.00	0.069824
252.00	0.077148
253.00	0.087158
254.00	0.097534
255.00	0.109863
256.00	0.122681
257.00	0.136108
258.00	0.153320
259.00	0.171631
260.00	0.191650
261.00	0.211792
262.00	0.232666
263.00	0.256226
264.00	0.281738
265.00	0.308105
266.00	0.332886
267.00	0.357300
268.00	0.382813
269.00	0.406982
270.00	0.430908
271.00	0.450806
272.00	0.467041
273.00	0.481323
274.00	0.489136
275.00	0.493042
276.00	0.489990
277.00	0.479736
278.00	0.465576
279.00	0.445190
280.00	0.418213
281.00	0.385132
282.00	0.347168
283.00	0.306641
284.00	0.258545
285.00	0.209595
286.00	0.165039
287.00	0.126099
288.00	0.094604
289.00	0.067383
290.00	0.046753
291.00	0.031372
292.00	0.021851
293.00	0.015381
294.00	0.009888
295.00	0.007568
296.00	0.005493
297.00	0.004272
298.00	0.003662
299.00	0.003296
300.00	0.003174
301.00	0.002808
302.00	0.002441
303.00	0.002563
304.00	0.002319
305.00	0.002686
306.00	0.002319
307.00	0.001831
308.00	0.001953
309.00	0.001953
310.00	0.001709
311.00	0.002197
312.00	0.002197
313.00	0.001831
314.00	0.001587
315.00	0.001587
316.00	0.000854
317.00	0.001221
318.00	0.001831
319.00	0.001709
320.00	0.002075
321.00	0.001831
322.00	0.001709
323.00	0.001953
324.00	0.001831
325.00	0.001465
326.00	0.001465
327.00	0.001343
328.00	0.001587
329.00	0.001465
330.00	0.001465
331.00	0.000977
332.00	0.001709
333.00	0.001221
334.00	0.000977
335.00	0.000488
336.00	0.000000
337.00	0.000610
338.00	0.000366
339.00	0.000366
340.00	0.000488
341.00	0.000122
342.00	0.000000
343.00	-0.000244
344.00	0.000000
345.00	0.000000
346.00	-0.000122
347.00	-0.000488
348.00	-0.000122
349.00	0.000000
350.00	-0.000244
351.00	0.000000
352.00	-0.000488
353.00	0.000000
354.00	0.000122
355.00	-0.000244
356.00	-0.000366
357.00	0.000488
358.00	0.000366
359.00	0.000000
360.00	0.000732
361.00	0.001343
362.00	0.000244
363.00	0.000000
364.00	0.000000
365.00	0.001099
366.00	-0.002563
367.00	-0.002197
368.00	-0.002197
369.00	-0.002197
370.00	-0.002319
371.00	-0.001709
372.00	-0.002075
373.00	-0.002441
374.00	-0.001343
375.00	-0.001465
376.00	-0.002197
377.00	-0.001953
378.00	-0.001831
379.00	-0.001465
