Wavelength nm.	RawData ...
190.00	-0.013794
191.00	-0.012085
192.00	-0.005737
193.00	-0.002075
194.00	-0.000244
195.00	0.000977
196.00	0.004517
197.00	0.004761
198.00	0.005493
199.00	0.006836
200.00	0.006714
201.00	0.004883
202.00	0.005493
203.00	0.004150
204.00	0.003296
205.00	0.002686
206.00	0.000854
207.00	0.000610
208.00	0.000488
209.00	-0.000122
210.00	0.001221
211.00	0.000610
212.00	0.001465
213.00	0.000854
214.00	0.000854
215.00	0.002441
216.00	0.002319
217.00	0.002930
218.00	0.002808
219.00	0.003052
220.00	0.003784
221.00	0.003906
222.00	0.003906
223.00	0.003662
224.00	0.004517
225.00	0.004639
226.00	0.004395
227.00	0.004150
228.00	0.004517
229.00	0.004395
230.00	0.004761
231.00	0.004272
232.00	0.004272
233.00	0.004761
234.00	0.004883
235.00	0.004517
236.00	0.005005
237.00	0.005371
238.00	0.005249
239.00	0.005493
240.00	0.005005
241.00	0.005493
242.00	0.005493
243.00	0.005737
244.00	0.005493
245.00	0.005249
246.00	0.005859
247.00	0.006226
248.00	0.006348
249.00	0.006348
250.00	0.006592
251.00	0.006226
252.00	0.006470
253.00	0.006348
254.00	0.006104
255.00	0.006470
256.00	0.006470
257.00	0.006470
258.00	0.006592
259.00	0.006714
260.00	0.006348
261.00	0.006226
262.00	0.006104
263.00	0.005737
264.00	0.005615
265.00	0.006470
266.00	0.005493
267.00	0.006348
268.00	0.005493
269.00	0.005127
270.00	0.005249
271.00	0.005005
272.00	0.004517
273.00	0.005005
274.00	0.004761
275.00	0.003784
276.00	0.003174
277.00	0.003296
278.00	0.003418
279.00	0.002808
280.00	0.002197
281.00	0.002441
282.00	0.002441
283.00	0.002441
284.00	0.002319
285.00	0.002075
286.00	0.002197
287.00	0.001465
288.00	0.001587
289.00	0.001587
290.00	0.001831
291.00	0.001831
292.00	0.001099
293.00	0.001343
294.00	0.001343
295.00	0.001587
296.00	0.001221
297.00	0.001099
298.00	0.001221
299.00	0.001465
300.00	0.001709
301.00	0.001953
302.00	0.001099
303.00	0.000977
304.00	0.001343
305.00	0.001099
306.00	0.000854
307.00	0.000000
308.00	0.000244
309.00	0.000244
310.00	0.000122
311.00	0.000488
312.00	0.000000
313.00	0.000000
314.00	0.000000
315.00	-0.000122
316.00	0.000244
317.00	0.000488
318.00	0.000000
319.00	0.000000
320.00	-0.000244
321.00	0.000122
322.00	0.000000
323.00	0.000244
324.00	0.000610
325.00	0.000610
326.00	-0.000122
327.00	-0.000122
328.00	0.000244
329.00	0.000244
330.00	0.000122
331.00	-0.000122
332.00	0.000366
333.00	0.000000
334.00	0.000000
335.00	0.000000
336.00	0.000000
337.00	0.000244
338.00	0.000000
339.00	0.000244
340.00	0.000000
341.00	0.000000
342.00	0.000000
343.00	0.000000
344.00	-0.000122
345.00	-0.000122
346.00	0.000000
347.00	-0.000122
348.00	0.000000
349.00	0.000244
350.00	0.000000
351.00	0.000244
352.00	0.000366
353.00	0.000000
354.00	0.000366
355.00	-0.000244
356.00	-0.000366
357.00	0.000244
358.00	0.000366
359.00	0.000122
360.00	0.001099
361.00	0.000854
362.00	0.000366
363.00	0.000122
364.00	-0.000244
365.00	0.001343
366.00	-0.001953
367.00	-0.001221
368.00	-0.001221
369.00	-0.001587
370.00	-0.001099
371.00	-0.000977
372.00	-0.001343
373.00	-0.001221
374.00	-0.000854
375.00	-0.000854
376.00	-0.001221
377.00	-0.001221
378.00	-0.001099
379.00	-0.000488
380.00	-0.001221
381.00	-0.001221
382.00	-0.001099
383.00	-0.000610
384.00	-0.000854
385.00	-0.000366
386.00	-0.000854
387.00	-0.000488
388.00	-0.000854
389.00	-0.001099
390.00	-0.000977
391.00	-0.000244
392.00	-0.000732
393.00	-0.000610
394.00	-0.000488
395.00	-0.000366
396.00	-0.000488
397.00	-0.000122
398.00	-0.000366
399.00	-0.000122
400.00	-0.000488
401.00	-0.000244
402.00	-0.000366
403.00	0.000000
404.00	0.000000
405.00	-0.000244
406.00	-0.000244
407.00	-0.000122
408.00	-0.000244
409.00	-0.000244
410.00	-0.000366
411.00	-0.000122
412.00	-0.000122
413.00	-0.000244
414.00	-0.000244
415.00	0.000000
416.00	0.000000
417.00	-0.000244
418.00	0.000000
419.00	-0.000366
420.00	-0.000122
421.00	-0.000244
422.00	0.000000
423.00	0.000000
424.00	-0.000122
425.00	0.000000
426.00	0.000244
427.00	-0.000122
428.00	-0.000122
429.00	0.000000
430.00	0.000000
431.00	0.000000
432.00	0.000244
433.00	0.000000
434.00	0.000122
435.00	0.000000
436.00	0.000122
437.00	0.000366
438.00	0.000488
439.00	0.000488
440.00	0.000366
441.00	0.000488
442.00	0.000610
443.00	0.000732
444.00	0.000610
445.00	0.000610
446.00	0.000488
447.00	0.000488
448.00	0.000122
449.00	0.000000
450.00	0.000000
451.00	-0.000366
452.00	-0.000488
453.00	-0.000488
454.00	-0.000366
455.00	-0.000732
456.00	-0.000732
457.00	-0.000244
458.00	-0.000488
459.00	-0.000488
460.00	-0.000488
461.00	-0.000366
462.00	0.000000
463.00	-0.000122
464.00	-0.000122
465.00	-0.000122
466.00	0.000000
467.00	0.000000
468.00	0.000000
469.00	-0.000122
470.00	-0.000122
471.00	-0.000122
472.00	-0.000488
473.00	-0.000488
474.00	-0.000366
475.00	-0.000366
476.00	-0.000610
477.00	-0.000488
478.00	-0.000366
479.00	-0.000244
480.00	-0.000244
481.00	-0.000488
482.00	-0.000366
483.00	-0.000366
484.00	-0.000366
485.00	-0.000488
486.00	-0.000366
487.00	-0.000244
488.00	-0.000366
489.00	-0.000244
490.00	0.000000
491.00	-0.000122
492.00	-0.000244
493.00	0.000000
494.00	0.000000
495.00	0.000000
496.00	-0.000122
497.00	-0.000122
498.00	0.000000
499.00	0.000000
500.00	0.000000
501.00	0.000000
502.00	0.000000
503.00	0.000000
504.00	0.000000
505.00	0.000000
506.00	0.000000
507.00	0.000000
508.00	0.000000
509.00	0.000000
510.00	0.000000
511.00	0.000000
512.00	-0.000122
513.00	0.000000
514.00	0.000000
515.00	0.000000
516.00	0.000000
517.00	0.000000
518.00	0.000000
519.00	0.000000
520.00	0.000000
521.00	0.000000
522.00	0.000000
523.00	0.000000
524.00	0.000000
525.00	0.000000
526.00	0.000000
527.00	0.000000
528.00	0.000000
529.00	0.000000
530.00	0.000000
531.00	0.000000
532.00	0.000000
533.00	0.000000
534.00	0.000244
535.00	0.000000
