Wavelength nm.	RawData ...
190.00	-0.012085
191.00	-0.009277
192.00	-0.002808
193.00	0.000732
194.00	0.002075
195.00	0.003052
196.00	0.005249
197.00	0.005249
198.00	0.005005
199.00	0.005249
200.00	0.004639
201.00	0.002197
202.00	0.001343
203.00	-0.000610
204.00	-0.002319
205.00	-0.003296
206.00	-0.005493
207.00	-0.005859
208.00	-0.005737
209.00	-0.005859
210.00	-0.003906
211.00	-0.003540
212.00	-0.002197
213.00	-0.001831
214.00	-0.000977
215.00	0.000488
216.00	0.000977
217.00	0.001709
218.00	0.001831
219.00	0.001709
220.00	0.002563
221.00	0.002441
222.00	0.002319
223.00	0.002563
224.00	0.002808
225.00	0.002441
226.00	0.002197
227.00	0.002075
228.00	0.001709
229.00	0.001221
230.00	0.001343
231.00	0.000488
232.00	0.000244
233.00	-0.000122
234.00	-0.000854
235.00	-0.001465
236.00	-0.001831
237.00	-0.002441
238.00	-0.003174
239.00	-0.004028
240.00	-0.005005
241.00	-0.004883
242.00	-0.005493
243.00	-0.005981
244.00	-0.007324
245.00	-0.007202
246.00	-0.007080
247.00	-0.007568
248.00	-0.007324
249.00	-0.007080
250.00	-0.006958
251.00	-0.007080
252.00	-0.006348
253.00	-0.006226
254.00	-0.005737
255.00	-0.004272
256.00	-0.003784
257.00	-0.002930
258.00	-0.001587
259.00	-0.000732
260.00	-0.000610
261.00	0.000122
262.00	0.000610
263.00	0.001465
264.00	0.001953
265.00	0.003540
266.00	0.003052
267.00	0.004395
268.00	0.004883
269.00	0.004883
270.00	0.005127
271.00	0.005371
272.00	0.005615
273.00	0.006104
274.00	0.006348
275.00	0.005615
276.00	0.005493
277.00	0.005981
278.00	0.005371
279.00	0.005005
280.00	0.005127
281.00	0.005493
282.00	0.005615
283.00	0.005737
284.00	0.005371
285.00	0.005249
286.00	0.005615
287.00	0.005615
288.00	0.005371
289.00	0.005005
290.00	0.004639
291.00	0.004883
292.00	0.004639
293.00	0.005249
294.00	0.005005
295.00	0.005127
296.00	0.004639
297.00	0.005005
298.00	0.005005
299.00	0.005371
300.00	0.005493
301.00	0.005371
302.00	0.004517
303.00	0.004639
304.00	0.004028
305.00	0.004395
306.00	0.004272
307.00	0.003540
308.00	0.003662
309.00	0.003784
310.00	0.003296
311.00	0.003784
312.00	0.003784
313.00	0.003174
314.00	0.003662
315.00	0.002808
316.00	0.003662
317.00	0.003662
318.00	0.003418
319.00	0.003662
320.00	0.003540
321.00	0.003662
322.00	0.003662
323.00	0.003662
324.00	0.003906
325.00	0.004272
326.00	0.003296
327.00	0.003418
328.00	0.003052
329.00	0.003906
330.00	0.003906
331.00	0.003540
332.00	0.004395
333.00	0.003418
334.00	0.003540
335.00	0.003418
336.00	0.003662
337.00	0.004150
338.00	0.003784
339.00	0.003540
340.00	0.003296
341.00	0.003540
342.00	0.003662
343.00	0.003174
344.00	0.003418
345.00	0.003540
346.00	0.003540
347.00	0.003052
348.00	0.003784
349.00	0.004028
350.00	0.003662
351.00	0.003784
352.00	0.004028
353.00	0.003784
354.00	0.004150
355.00	0.003784
356.00	0.003906
357.00	0.004517
358.00	0.004639
359.00	0.004395
360.00	0.005249
361.00	0.004761
362.00	0.004517
363.00	0.004395
364.00	0.004150
365.00	0.003784
366.00	-0.000610
367.00	0.000000
368.00	0.000000
369.00	-0.000366
370.00	0.000000
371.00	0.000000
372.00	-0.000244
373.00	0.000000
374.00	0.000244
375.00	0.000122
376.00	0.000000
377.00	0.000000
378.00	0.000000
379.00	0.000244
380.00	0.000000
381.00	0.000000
382.00	0.000122
383.00	0.000244
384.00	0.000000
385.00	0.000610
386.00	0.000000
387.00	0.000488
388.00	0.000244
389.00	0.000122
390.00	0.000122
391.00	0.000854
392.00	0.000366
393.00	0.000488
394.00	0.000610
395.00	0.000977
396.00	0.000732
397.00	0.001099
398.00	0.000854
399.00	0.000977
400.00	0.000732
401.00	0.000854
402.00	0.000977
403.00	0.001221
404.00	0.001099
405.00	0.000977
406.00	0.001099
407.00	0.001343
408.00	0.001099
409.00	0.001099
410.00	0.001099
411.00	0.001099
412.00	0.001099
413.00	0.001221
414.00	0.001099
415.00	0.001465
416.00	0.001343
417.00	0.000854
418.00	0.001099
419.00	0.000854
420.00	0.001099
421.00	0.000732
422.00	0.000977
423.00	0.000977
424.00	0.000977
425.00	0.001343
426.00	0.001343
427.00	0.000977
428.00	0.001099
429.00	0.001343
430.00	0.001221
431.00	0.001099
432.00	0.001343
433.00	0.001099
434.00	0.001465
435.00	0.001343
436.00	0.001465
437.00	0.001709
438.00	0.001587
439.00	0.001709
440.00	0.001953
441.00	0.001831
442.00	0.001953
443.00	0.002075
444.00	0.001831
445.00	0.001953
446.00	0.001953
447.00	0.001953
448.00	0.001709
