Wavelength nm.	RawData ...
200.00	0.628662
201.00	0.644043
202.00	0.658325
203.00	0.667480
204.00	0.675293
205.00	0.678833
206.00	0.678467
207.00	0.675293
208.00	0.668335
209.00	0.657349
210.00	0.644897
211.00	0.629272
212.00	0.611084
213.00	0.589722
214.00	0.566040
215.00	0.541626
216.00	0.514282
217.00	0.481812
218.00	0.447754
219.00	0.411987
220.00	0.379028
221.00	0.348267
222.00	0.312378
223.00	0.277954
224.00	0.244263
225.00	0.212158
226.00	0.182861
227.00	0.153564
228.00	0.124634
229.00	0.097778
230.00	0.073608
231.00	0.051392
232.00	0.029541
233.00	0.009033
234.00	-0.008667
235.00	-0.025635
236.00	-0.039307
237.00	-0.051758
238.00	-0.063721
239.00	-0.075562
240.00	-0.085083
241.00	-0.092896
242.00	-0.098877
243.00	-0.105347
244.00	-0.110107
245.00	-0.114380
246.00	-0.118530
247.00	-0.121460
248.00	-0.123291
249.00	-0.125244
250.00	-0.126587
251.00	-0.128540
252.00	-0.129395
253.00	-0.129883
254.00	-0.130371
255.00	-0.130981
256.00	-0.131836
257.00	-0.132202
258.00	-0.132080
259.00	-0.132202
260.00	-0.132568
261.00	-0.132813
262.00	-0.132324
263.00	-0.132446
264.00	-0.132690
265.00	-0.132446
266.00	-0.132813
267.00	-0.132568
268.00	-0.132813
269.00	-0.132813
270.00	-0.132568
271.00	-0.132935
272.00	-0.132568
273.00	-0.132202
274.00	-0.132935
275.00	-0.132690
276.00	-0.132935
277.00	-0.132813
278.00	-0.132568
279.00	-0.133057
280.00	-0.132935
281.00	-0.133057
282.00	-0.132568
283.00	-0.132568
284.00	-0.132568
285.00	-0.133301
286.00	-0.133179
287.00	-0.132813
288.00	-0.132813
289.00	-0.132813
290.00	-0.132935
291.00	-0.132935
292.00	-0.133179
293.00	-0.133057
294.00	-0.133179
295.00	-0.132690
296.00	-0.132568
297.00	-0.132813
298.00	-0.133179
299.00	-0.133179
300.00	-0.133301
301.00	-0.132446
302.00	-0.133301
303.00	-0.132690
304.00	-0.132690
305.00	-0.132935
306.00	-0.132690
307.00	-0.132690
308.00	-0.133057
309.00	-0.133423
310.00	-0.133301
311.00	-0.133301
312.00	-0.132568
313.00	-0.133179
314.00	-0.133057
315.00	-0.132935
316.00	-0.133179
317.00	-0.133545
318.00	-0.133667
319.00	-0.133057
320.00	-0.133179
321.00	-0.133545
322.00	-0.133545
323.00	-0.133667
324.00	-0.133301
325.00	-0.133301
326.00	-0.132813
327.00	-0.133301
328.00	-0.132813
329.00	-0.133301
330.00	-0.132813
331.00	-0.133179
332.00	-0.133423
333.00	-0.133667
334.00	-0.133423
335.00	-0.133545
336.00	-0.133423
337.00	-0.133301
338.00	-0.133301
339.00	-0.133789
340.00	-0.133667
341.00	-0.133545
342.00	-0.134277
343.00	-0.133667
344.00	-0.133667
345.00	-0.133423
346.00	-0.133301
347.00	-0.133789
348.00	-0.133179
349.00	-0.133301
350.00	-0.134033
351.00	-0.133667
352.00	-0.133667
353.00	-0.133545
354.00	-0.132935
355.00	-0.133667
356.00	-0.133911
357.00	-0.133301
358.00	-0.133667
359.00	-0.134521
360.00	-0.133545
361.00	-0.133545
362.00	-0.134277
363.00	-0.134277
364.00	-0.133911
365.00	-0.133545
366.00	-0.133789
367.00	-0.133789
368.00	-0.133301
369.00	-0.133789
370.00	-0.134033
371.00	-0.133789
372.00	-0.133057
373.00	-0.133911
374.00	-0.133301
375.00	-0.133545
376.00	-0.133423
377.00	-0.133545
378.00	-0.133423
379.00	-0.133179
380.00	-0.133301
381.00	-0.133423
382.00	-0.133789
383.00	-0.133789
384.00	-0.133423
385.00	-0.133301
386.00	-0.133789
387.00	-0.133545
388.00	-0.133301
389.00	-0.133667
390.00	-0.133545
391.00	-0.133301
392.00	-0.133423
393.00	-0.133667
394.00	-0.133545
395.00	-0.133423
396.00	-0.133301
397.00	-0.133423
398.00	-0.133545
399.00	-0.133545
400.00	-0.133423
401.00	-0.133423
402.00	-0.133423
403.00	-0.133667
404.00	-0.133301
405.00	-0.133423
406.00	-0.133667
407.00	-0.133301
408.00	-0.133179
409.00	-0.133301
410.00	-0.133423
411.00	-0.133301
412.00	-0.133179
413.00	-0.133545
414.00	-0.133423
415.00	-0.133179
416.00	-0.133179
417.00	-0.133667
418.00	-0.133545
419.00	-0.133545
420.00	-0.133301
421.00	-0.133545
422.00	-0.133423
423.00	-0.133423
424.00	-0.133179
425.00	-0.133179
426.00	-0.133423
427.00	-0.133179
428.00	-0.133057
429.00	-0.133179
430.00	-0.133667
431.00	-0.133301
432.00	-0.133057
433.00	-0.133057
434.00	-0.133057
435.00	-0.133179
436.00	-0.133057
437.00	-0.132935
438.00	-0.132935
439.00	-0.133179
440.00	-0.132935
441.00	-0.132935
442.00	-0.132935
443.00	-0.132935
444.00	-0.132935
445.00	-0.132935
446.00	-0.132935
447.00	-0.133057
448.00	-0.132935
449.00	-0.133301
450.00	-0.133423
451.00	-0.133423
452.00	-0.133179
453.00	-0.133423
454.00	-0.133545
455.00	-0.133545
456.00	-0.133301
457.00	-0.133301
458.00	-0.133545
459.00	-0.133423
460.00	-0.133301
461.00	-0.133545
462.00	-0.133423
463.00	-0.133423
464.00	-0.132935
465.00	-0.133301
466.00	-0.133423
467.00	-0.133423
468.00	-0.133423
469.00	-0.133545
470.00	-0.133423
471.00	-0.133667
472.00	-0.133423
473.00	-0.133667
474.00	-0.133789
475.00	-0.133545
476.00	-0.133545
477.00	-0.133667
478.00	-0.133545
479.00	-0.133423
480.00	-0.133423
481.00	-0.133423
482.00	-0.133545
483.00	-0.133545
484.00	-0.133423
485.00	-0.133545
486.00	-0.133423
487.00	-0.133301
488.00	-0.133423
489.00	-0.133545
490.00	-0.133545
491.00	-0.133667
492.00	-0.133423
493.00	-0.133545
494.00	-0.133545
495.00	-0.133667
496.00	-0.133301
497.00	-0.133301
498.00	-0.133545
499.00	-0.133301
500.00	-0.133423
