Wavelength nm.	RawData ...
190.00	2.510376
191.00	2.682495
192.00	2.731934
193.00	2.854004
194.00	2.920288
195.00	2.984741
196.00	3.005371
197.00	3.042236
198.00	3.077759
199.00	3.050537
200.00	3.103394
201.00	3.106934
202.00	3.134033
203.00	3.158691
204.00	3.090332
205.00	3.117798
206.00	3.240356
207.00	3.173950
208.00	3.203857
209.00	3.151978
210.00	3.258911
211.00	3.281738
212.00	3.227417
213.00	3.249146
214.00	3.270386
215.00	3.290405
216.00	3.307251
217.00	3.325073
218.00	3.274902
219.00	3.356689
220.00	3.301880
221.00	3.311646
222.00	3.321899
223.00	3.331909
224.00	3.340698
225.00	3.348999
226.00	3.355713
227.00	3.305786
228.00	3.312988
229.00	3.319702
230.00	3.275024
231.00	3.331177
232.00	3.285156
233.00	3.289307
234.00	3.292236
235.00	3.247925
236.00	3.248535
237.00	3.168945
238.00	3.016235
239.00	2.753052
240.00	2.415894
241.00	2.099609
242.00	1.812012
243.00	1.515991
244.00	1.261230
245.00	1.041504
246.00	0.857910
247.00	0.710083
248.00	0.571045
249.00	0.452637
250.00	0.356445
251.00	0.280884
252.00	0.219604
253.00	0.167358
254.00	0.127563
255.00	0.096436
256.00	0.073486
257.00	0.057861
258.00	0.043701
259.00	0.034180
260.00	0.026489
261.00	0.021484
262.00	0.018555
263.00	0.015747
264.00	0.013550
265.00	0.012451
266.00	0.011597
267.00	0.011475
268.00	0.010620
269.00	0.010254
270.00	0.010498
271.00	0.010376
272.00	0.010254
273.00	0.010254
274.00	0.009888
275.00	0.009521
276.00	0.009521
277.00	0.009277
278.00	0.008545
279.00	0.009033
280.00	0.009277
281.00	0.009644
282.00	0.008667
283.00	0.008789
284.00	0.008911
285.00	0.008301
286.00	0.008667
287.00	0.007935
288.00	0.008179
289.00	0.007324
290.00	0.007202
291.00	0.006958
292.00	0.006958
293.00	0.007080
294.00	0.007080
295.00	0.006958
296.00	0.006714
297.00	0.006958
298.00	0.007324
299.00	0.006836
300.00	0.006592
301.00	0.006714
302.00	0.006958
303.00	0.006592
304.00	0.006470
305.00	0.006714
306.00	0.006348
307.00	0.005005
308.00	0.004883
309.00	0.005249
310.00	0.005127
311.00	0.004395
312.00	0.004028
313.00	0.004517
314.00	0.004150
315.00	0.004272
316.00	0.004395
317.00	0.004639
318.00	0.004028
319.00	0.003906
320.00	0.003784
321.00	0.004150
322.00	0.003784
323.00	0.003540
324.00	0.003296
325.00	0.003418
326.00	0.003052
327.00	0.001831
328.00	0.002930
329.00	0.003174
330.00	0.003052
331.00	0.002686
332.00	0.002930
333.00	0.003052
334.00	0.003052
335.00	0.002319
336.00	0.002319
337.00	0.002686
338.00	0.002930
339.00	0.002563
340.00	0.002563
341.00	0.002686
342.00	0.002808
343.00	0.002808
344.00	0.002197
345.00	0.002808
346.00	0.002563
347.00	0.002930
348.00	0.002441
349.00	0.002808
350.00	0.002563
351.00	0.002930
352.00	0.003052
353.00	0.003052
354.00	0.003418
