Wavelength nm.	RawData ...
200.00	-0.112915
201.00	-0.112671
202.00	-0.113403
203.00	-0.114746
204.00	-0.115112
205.00	-0.114746
206.00	-0.116333
207.00	-0.116943
208.00	-0.116821
209.00	-0.117188
210.00	-0.118042
211.00	-0.119019
212.00	-0.119507
213.00	-0.119873
214.00	-0.120728
215.00	-0.120605
216.00	-0.120850
217.00	-0.121704
218.00	-0.122559
219.00	-0.122925
220.00	-0.123047
221.00	-0.123657
222.00	-0.123779
223.00	-0.124268
224.00	-0.124268
225.00	-0.124756
226.00	-0.125488
227.00	-0.125854
228.00	-0.125977
229.00	-0.126831
230.00	-0.126587
231.00	-0.127075
232.00	-0.127197
233.00	-0.127686
234.00	-0.127686
235.00	-0.128418
236.00	-0.128418
237.00	-0.128662
238.00	-0.129639
239.00	-0.128784
240.00	-0.129150
241.00	-0.129639
242.00	-0.129517
243.00	-0.130127
244.00	-0.130371
245.00	-0.131226
246.00	-0.130737
247.00	-0.131226
248.00	-0.130981
249.00	-0.131592
250.00	-0.131226
251.00	-0.131470
252.00	-0.131958
253.00	-0.131958
254.00	-0.131592
255.00	-0.131714
256.00	-0.132324
257.00	-0.132080
258.00	-0.132080
259.00	-0.132202
260.00	-0.132080
261.00	-0.132690
262.00	-0.132690
263.00	-0.132324
264.00	-0.132690
265.00	-0.132935
266.00	-0.132813
267.00	-0.132324
268.00	-0.132202
269.00	-0.132935
270.00	-0.132324
271.00	-0.132324
272.00	-0.132568
273.00	-0.132935
274.00	-0.132935
275.00	-0.132690
276.00	-0.133301
277.00	-0.133423
278.00	-0.133545
279.00	-0.133179
280.00	-0.133179
281.00	-0.133301
282.00	-0.133545
283.00	-0.132813
284.00	-0.132813
285.00	-0.133545
286.00	-0.133789
287.00	-0.133911
288.00	-0.133545
289.00	-0.133301
290.00	-0.133911
291.00	-0.133301
292.00	-0.132935
293.00	-0.133179
294.00	-0.133667
295.00	-0.133545
296.00	-0.133179
297.00	-0.133301
298.00	-0.133179
299.00	-0.133301
300.00	-0.133301
301.00	-0.133545
302.00	-0.133301
303.00	-0.132935
304.00	-0.133423
305.00	-0.133301
306.00	-0.133911
307.00	-0.133789
308.00	-0.133789
309.00	-0.133667
310.00	-0.133545
311.00	-0.133667
312.00	-0.133545
313.00	-0.133667
314.00	-0.133667
315.00	-0.133179
316.00	-0.133301
317.00	-0.133179
318.00	-0.133667
319.00	-0.133179
320.00	-0.133911
321.00	-0.133301
322.00	-0.133179
323.00	-0.133789
324.00	-0.133545
325.00	-0.133423
326.00	-0.133667
327.00	-0.133423
328.00	-0.133545
329.00	-0.133423
330.00	-0.133545
331.00	-0.132202
332.00	-0.133057
333.00	-0.133545
334.00	-0.133667
335.00	-0.133545
336.00	-0.133057
337.00	-0.133301
338.00	-0.133545
339.00	-0.133423
340.00	-0.133179
341.00	-0.133057
342.00	-0.132935
343.00	-0.133057
344.00	-0.133545
345.00	-0.133301
346.00	-0.132935
347.00	-0.133179
348.00	-0.133911
349.00	-0.133545
350.00	-0.133789
351.00	-0.133423
352.00	-0.133423
353.00	-0.133423
354.00	-0.133545
355.00	-0.133301
356.00	-0.133789
357.00	-0.134277
358.00	-0.133057
359.00	-0.133545
360.00	-0.134277
361.00	-0.133301
362.00	-0.134277
363.00	-0.133179
364.00	-0.133789
365.00	-0.133789
366.00	-0.133301
367.00	-0.133057
368.00	-0.132690
369.00	-0.133423
370.00	-0.133423
371.00	-0.133301
372.00	-0.132690
373.00	-0.133545
374.00	-0.132690
375.00	-0.133179
376.00	-0.132813
377.00	-0.133545
378.00	-0.133057
379.00	-0.132690
380.00	-0.132935
381.00	-0.133057
382.00	-0.133301
383.00	-0.133179
384.00	-0.132813
385.00	-0.132568
386.00	-0.133301
387.00	-0.133057
388.00	-0.132935
389.00	-0.133057
390.00	-0.132935
391.00	-0.132813
392.00	-0.132813
393.00	-0.133057
394.00	-0.133179
395.00	-0.132813
396.00	-0.132690
397.00	-0.132813
398.00	-0.133057
399.00	-0.132813
400.00	-0.132813
401.00	-0.132813
402.00	-0.132935
403.00	-0.133057
404.00	-0.132690
405.00	-0.132446
406.00	-0.133179
407.00	-0.133057
408.00	-0.132690
409.00	-0.132568
410.00	-0.132813
411.00	-0.132813
412.00	-0.132690
413.00	-0.133057
414.00	-0.132813
415.00	-0.132690
416.00	-0.132568
417.00	-0.133179
418.00	-0.133179
419.00	-0.133057
420.00	-0.133057
421.00	-0.133057
422.00	-0.132813
423.00	-0.133057
424.00	-0.132813
425.00	-0.132568
426.00	-0.133057
427.00	-0.133057
428.00	-0.132813
429.00	-0.132935
430.00	-0.132935
431.00	-0.132935
432.00	-0.132690
433.00	-0.132690
434.00	-0.132813
435.00	-0.132813
436.00	-0.132568
437.00	-0.132813
438.00	-0.132690
439.00	-0.132690
440.00	-0.132690
441.00	-0.132690
442.00	-0.132690
443.00	-0.132690
444.00	-0.132813
445.00	-0.132813
446.00	-0.132813
447.00	-0.132813
448.00	-0.132813
449.00	-0.132813
450.00	-0.133057
451.00	-0.133057
452.00	-0.132813
453.00	-0.133179
454.00	-0.133301
455.00	-0.132935
456.00	-0.132935
457.00	-0.132813
458.00	-0.132935
459.00	-0.133057
460.00	-0.132813
461.00	-0.133057
462.00	-0.132935
463.00	-0.132813
464.00	-0.132568
465.00	-0.133057
466.00	-0.132813
467.00	-0.132813
468.00	-0.132813
469.00	-0.132935
470.00	-0.132813
471.00	-0.133057
472.00	-0.132935
473.00	-0.133057
474.00	-0.133057
475.00	-0.133057
476.00	-0.132935
477.00	-0.133057
478.00	-0.133179
479.00	-0.132935
480.00	-0.132935
481.00	-0.133179
482.00	-0.132813
483.00	-0.133179
484.00	-0.132813
