Wavelength nm.	RawData ...
200.00	0.084961
201.00	0.076904
202.00	0.072144
203.00	0.065308
204.00	0.059692
205.00	0.054077
206.00	0.048340
207.00	0.041992
208.00	0.037231
209.00	0.031616
210.00	0.026489
211.00	0.021729
212.00	0.017700
213.00	0.012085
214.00	0.008057
215.00	0.003784
216.00	-0.000854
217.00	-0.006470
218.00	-0.010986
219.00	-0.015991
220.00	-0.020142
221.00	-0.024414
222.00	-0.029297
223.00	-0.033203
224.00	-0.036987
225.00	-0.041016
226.00	-0.045044
227.00	-0.048828
228.00	-0.052246
229.00	-0.056274
230.00	-0.059448
231.00	-0.062378
232.00	-0.065552
233.00	-0.069214
234.00	-0.072388
235.00	-0.075684
236.00	-0.078979
237.00	-0.081543
238.00	-0.084351
239.00	-0.087158
240.00	-0.089966
241.00	-0.092407
242.00	-0.094360
243.00	-0.096924
244.00	-0.099487
245.00	-0.101074
246.00	-0.102661
247.00	-0.104492
248.00	-0.106323
249.00	-0.107788
250.00	-0.108887
251.00	-0.110352
252.00	-0.111694
253.00	-0.112549
254.00	-0.113403
255.00	-0.114380
256.00	-0.115601
257.00	-0.115234
258.00	-0.116455
259.00	-0.117065
260.00	-0.118164
261.00	-0.118774
262.00	-0.118408
263.00	-0.119263
264.00	-0.119995
265.00	-0.119995
266.00	-0.120361
267.00	-0.120605
268.00	-0.121460
269.00	-0.121338
270.00	-0.121582
271.00	-0.122192
272.00	-0.122681
273.00	-0.122803
274.00	-0.123291
275.00	-0.123413
276.00	-0.124268
277.00	-0.124268
278.00	-0.124634
279.00	-0.125000
280.00	-0.124512
281.00	-0.124878
282.00	-0.125366
283.00	-0.125610
284.00	-0.125732
285.00	-0.125977
286.00	-0.125854
287.00	-0.126709
288.00	-0.126709
289.00	-0.126831
290.00	-0.126587
291.00	-0.126953
292.00	-0.126831
293.00	-0.126587
294.00	-0.127441
295.00	-0.127563
296.00	-0.127197
297.00	-0.127197
298.00	-0.127808
299.00	-0.127808
300.00	-0.127808
301.00	-0.128052
302.00	-0.127930
303.00	-0.128052
304.00	-0.127808
305.00	-0.127563
306.00	-0.128296
307.00	-0.128418
308.00	-0.128296
309.00	-0.128052
310.00	-0.128296
311.00	-0.128296
312.00	-0.128052
313.00	-0.127686
314.00	-0.127686
315.00	-0.128418
316.00	-0.128540
317.00	-0.127930
318.00	-0.128540
319.00	-0.128174
320.00	-0.128052
321.00	-0.128052
322.00	-0.127930
323.00	-0.128296
324.00	-0.128418
325.00	-0.128418
326.00	-0.128052
327.00	-0.128174
328.00	-0.128418
329.00	-0.128540
330.00	-0.129639
331.00	-0.129517
332.00	-0.128296
333.00	-0.128662
334.00	-0.128540
335.00	-0.128540
336.00	-0.128540
337.00	-0.128540
338.00	-0.128540
339.00	-0.128418
340.00	-0.128784
341.00	-0.128540
342.00	-0.128296
343.00	-0.128418
344.00	-0.129150
345.00	-0.128662
346.00	-0.128174
347.00	-0.128540
348.00	-0.128540
349.00	-0.128174
350.00	-0.128540
351.00	-0.128906
352.00	-0.128906
353.00	-0.128296
354.00	-0.128052
355.00	-0.128662
356.00	-0.128784
357.00	-0.128296
358.00	-0.128052
359.00	-0.128540
360.00	-0.127808
361.00	-0.128052
362.00	-0.129028
363.00	-0.128906
364.00	-0.129150
365.00	-0.130859
366.00	-0.130615
367.00	-0.130737
368.00	-0.130127
369.00	-0.130493
370.00	-0.130737
371.00	-0.130615
372.00	-0.130005
373.00	-0.130737
374.00	-0.130127
375.00	-0.130493
376.00	-0.130127
377.00	-0.130737
378.00	-0.130493
379.00	-0.129761
380.00	-0.130005
381.00	-0.130249
382.00	-0.130493
383.00	-0.130493
384.00	-0.129883
385.00	-0.130005
386.00	-0.130615
387.00	-0.130249
388.00	-0.130249
389.00	-0.130615
390.00	-0.130493
391.00	-0.129883
392.00	-0.130127
393.00	-0.130493
394.00	-0.130371
395.00	-0.130371
396.00	-0.129883
397.00	-0.129883
398.00	-0.130493
399.00	-0.130371
400.00	-0.130005
401.00	-0.130493
402.00	-0.130493
403.00	-0.130493
404.00	-0.130127
405.00	-0.130371
406.00	-0.130493
407.00	-0.130371
408.00	-0.130005
409.00	-0.130249
410.00	-0.130249
411.00	-0.130127
412.00	-0.130127
413.00	-0.130249
414.00	-0.130249
415.00	-0.130249
416.00	-0.130127
417.00	-0.130493
418.00	-0.130371
419.00	-0.130249
420.00	-0.130371
421.00	-0.130493
422.00	-0.130371
423.00	-0.130493
424.00	-0.130249
425.00	-0.130005
426.00	-0.130493
427.00	-0.130249
428.00	-0.129883
429.00	-0.130371
430.00	-0.130249
431.00	-0.130249
432.00	-0.130127
433.00	-0.130371
434.00	-0.130249
435.00	-0.130249
436.00	-0.130249
437.00	-0.130127
438.00	-0.130127
439.00	-0.130249
440.00	-0.130249
441.00	-0.130249
442.00	-0.130127
443.00	-0.130127
444.00	-0.130127
445.00	-0.130249
446.00	-0.130371
447.00	-0.130371
448.00	-0.130005
449.00	-0.130127
450.00	-0.130249
451.00	-0.130127
452.00	-0.129883
453.00	-0.130127
454.00	-0.130127
455.00	-0.130005
456.00	-0.129883
457.00	-0.129883
458.00	-0.130127
459.00	-0.130127
460.00	-0.129883
461.00	-0.130127
462.00	-0.130005
463.00	-0.130005
464.00	-0.130005
465.00	-0.130127
466.00	-0.130005
467.00	-0.130005
468.00	-0.129883
469.00	-0.130005
470.00	-0.130005
471.00	-0.130005
472.00	-0.129761
473.00	-0.130127
474.00	-0.130127
475.00	-0.130005
476.00	-0.129639
477.00	-0.130005
478.00	-0.130005
479.00	-0.129761
480.00	-0.129761
481.00	-0.129883
482.00	-0.129883
483.00	-0.130005
484.00	-0.129883
485.00	-0.130005
486.00	-0.129761
487.00	-0.130005
488.00	-0.129761
489.00	-0.129883
490.00	-0.130005
491.00	-0.130005
492.00	-0.130005
493.00	-0.130127
494.00	-0.130005
495.00	-0.130005
496.00	-0.129517
497.00	-0.129761
498.00	-0.129761
499.00	-0.129761
500.00	-0.129761
