Wavelength nm.	RawData ...
190.00	2.066650
191.00	2.181885
192.00	2.244507
193.00	2.243652
194.00	2.170898
195.00	2.012329
196.00	1.758789
197.00	1.517212
198.00	1.270508
199.00	1.065430
200.00	0.898926
201.00	0.745728
202.00	0.635132
203.00	0.557739
204.00	0.498169
205.00	0.461548
206.00	0.440430
207.00	0.427734
208.00	0.424316
209.00	0.424316
210.00	0.427979
211.00	0.430908
212.00	0.435791
213.00	0.439697
214.00	0.445068
215.00	0.452026
216.00	0.459229
217.00	0.469238
218.00	0.480713
219.00	0.490845
220.00	0.497070
221.00	0.499268
222.00	0.494385
223.00	0.483765
224.00	0.464966
225.00	0.440796
226.00	0.413208
227.00	0.378052
228.00	0.341187
229.00	0.304077
230.00	0.267944
231.00	0.235229
232.00	0.203247
233.00	0.174561
234.00	0.150146
235.00	0.129761
236.00	0.113159
237.00	0.100464
238.00	0.088623
239.00	0.078613
240.00	0.070801
241.00	0.065186
242.00	0.060913
243.00	0.056885
244.00	0.053955
245.00	0.051392
246.00	0.049438
247.00	0.047607
248.00	0.045898
249.00	0.044312
250.00	0.042969
251.00	0.042114
252.00	0.041382
253.00	0.041382
254.00	0.041016
255.00	0.041138
256.00	0.040283
257.00	0.040161
258.00	0.039551
259.00	0.040039
260.00	0.040649
261.00	0.042603
262.00	0.045166
263.00	0.048706
264.00	0.052856
265.00	0.058594
266.00	0.064575
267.00	0.071167
268.00	0.078857
269.00	0.087524
270.00	0.096802
271.00	0.106323
272.00	0.115601
273.00	0.126343
274.00	0.137329
275.00	0.149292
276.00	0.161133
277.00	0.173462
278.00	0.184692
279.00	0.197021
280.00	0.208862
281.00	0.220215
282.00	0.229858
283.00	0.237671
284.00	0.245605
285.00	0.252197
286.00	0.256836
287.00	0.258667
288.00	0.259766
289.00	0.258301
290.00	0.254395
291.00	0.248535
292.00	0.241333
293.00	0.232910
294.00	0.222656
295.00	0.210938
296.00	0.196533
297.00	0.182373
298.00	0.167847
299.00	0.149780
300.00	0.130981
301.00	0.113525
302.00	0.096313
303.00	0.080566
304.00	0.065674
305.00	0.052002
306.00	0.041260
307.00	0.030396
308.00	0.022339
309.00	0.015991
310.00	0.010742
311.00	0.006958
312.00	0.004272
313.00	0.002808
314.00	0.001099
315.00	0.000000
316.00	0.000000
317.00	-0.000244
318.00	-0.000854
319.00	-0.000977
320.00	-0.001465
321.00	-0.000732
322.00	-0.001343
323.00	-0.002075
324.00	-0.001831
325.00	-0.001709
326.00	-0.001465
327.00	0.000000
328.00	-0.001343
329.00	-0.001709
330.00	-0.001709
331.00	-0.001831
332.00	-0.001343
333.00	-0.001709
334.00	-0.001221
335.00	-0.001587
336.00	-0.001953
337.00	-0.001587
338.00	-0.001709
339.00	-0.001831
340.00	-0.001343
341.00	-0.001343
342.00	-0.001465
343.00	-0.001709
344.00	-0.001831
345.00	-0.001343
346.00	-0.001587
347.00	-0.001831
348.00	-0.001465
349.00	-0.001343
350.00	-0.001953
351.00	-0.001343
352.00	-0.001099
353.00	-0.000854
354.00	-0.001221
355.00	-0.001221
356.00	-0.001465
357.00	-0.000610
358.00	-0.000977
359.00	-0.001221
360.00	-0.000366
361.00	-0.000732
362.00	-0.001343
363.00	-0.000854
364.00	-0.000732
365.00	-0.000610
366.00	-0.003174
367.00	-0.003052
368.00	-0.002930
369.00	-0.003174
370.00	-0.003296
371.00	-0.002686
372.00	-0.003174
373.00	-0.003296
374.00	-0.002441
375.00	-0.002686
376.00	-0.002441
377.00	-0.003052
378.00	-0.003052
379.00	-0.002441
380.00	-0.002930
381.00	-0.002808
382.00	-0.003052
383.00	-0.002319
384.00	-0.002686
385.00	-0.002075
386.00	-0.002441
387.00	-0.001831
388.00	-0.002075
389.00	-0.002441
390.00	-0.002197
391.00	-0.001953
392.00	-0.002441
393.00	-0.001953
394.00	-0.002197
395.00	-0.001831
396.00	-0.002197
397.00	-0.001709
398.00	-0.001953
399.00	-0.001587
