Wavelength nm.	RawData ...
190.00	2.238403
191.00	2.363647
192.00	2.463013
193.00	2.536499
194.00	2.587036
195.00	2.607300
196.00	2.571655
197.00	2.410278
198.00	2.155640
199.00	1.885498
200.00	1.641968
201.00	1.414551
202.00	1.240601
203.00	1.120361
204.00	1.020630
205.00	0.958862
206.00	0.921143
207.00	0.897949
208.00	0.890869
209.00	0.890381
210.00	0.896484
211.00	0.902222
212.00	0.910767
213.00	0.917725
214.00	0.927612
215.00	0.939819
216.00	0.953735
217.00	0.972290
218.00	0.993286
219.00	1.012939
220.00	1.024658
221.00	1.026123
222.00	1.015381
223.00	0.989746
224.00	0.947754
225.00	0.893555
226.00	0.832031
227.00	0.758301
228.00	0.679321
229.00	0.600586
230.00	0.527710
231.00	0.460693
232.00	0.394409
233.00	0.336304
234.00	0.286011
235.00	0.243652
236.00	0.209229
237.00	0.181641
238.00	0.156006
239.00	0.135010
240.00	0.117676
241.00	0.104736
242.00	0.095215
243.00	0.086304
244.00	0.079102
245.00	0.073242
246.00	0.069214
247.00	0.065552
248.00	0.062744
249.00	0.060425
250.00	0.059326
251.00	0.058228
252.00	0.058228
253.00	0.059082
254.00	0.060059
255.00	0.062134
256.00	0.063599
257.00	0.065918
258.00	0.068848
259.00	0.073120
260.00	0.077759
261.00	0.083740
262.00	0.091187
263.00	0.099854
264.00	0.110229
265.00	0.122925
266.00	0.135376
267.00	0.149292
268.00	0.165039
269.00	0.182617
270.00	0.201782
271.00	0.221191
272.00	0.239624
273.00	0.261963
274.00	0.284546
275.00	0.308350
276.00	0.332642
277.00	0.358032
278.00	0.380615
279.00	0.405762
280.00	0.430054
281.00	0.452759
282.00	0.472778
283.00	0.489258
284.00	0.505371
285.00	0.518677
286.00	0.527100
287.00	0.532104
288.00	0.533936
289.00	0.530151
290.00	0.522949
291.00	0.510620
292.00	0.495483
293.00	0.478638
294.00	0.456055
295.00	0.431396
296.00	0.403198
297.00	0.372925
298.00	0.342529
299.00	0.305420
300.00	0.267334
301.00	0.230591
302.00	0.196289
303.00	0.164795
304.00	0.134399
305.00	0.106689
306.00	0.086304
307.00	0.064087
308.00	0.048706
309.00	0.035400
310.00	0.025146
311.00	0.017212
312.00	0.012451
313.00	0.009277
314.00	0.006226
315.00	0.004028
316.00	0.002930
317.00	0.002197
318.00	0.001099
319.00	0.000854
320.00	0.000732
321.00	0.000977
322.00	0.000000
323.00	0.000000
324.00	0.000000
325.00	0.000000
326.00	0.000000
327.00	0.000244
328.00	-0.000122
329.00	0.000000
330.00	-0.000244
331.00	0.000000
332.00	0.000244
333.00	-0.000122
334.00	0.000000
335.00	-0.000122
336.00	-0.000122
337.00	-0.000122
338.00	0.000000
339.00	0.000000
340.00	0.000000
341.00	0.000000
342.00	0.000000
343.00	0.000122
344.00	0.000000
345.00	0.000122
346.00	0.000000
347.00	0.000000
348.00	0.000122
349.00	0.000244
350.00	-0.000122
351.00	0.000000
352.00	0.000000
353.00	0.000488
354.00	0.000488
355.00	0.000244
356.00	0.000122
357.00	0.001099
358.00	0.000488
359.00	0.000488
360.00	0.001465
361.00	0.001221
362.00	0.000610
363.00	0.000000
364.00	0.001343
365.00	-0.000244
366.00	-0.004028
367.00	-0.003784
368.00	-0.003662
369.00	-0.003906
370.00	-0.004028
371.00	-0.003296
372.00	-0.003906
373.00	-0.003906
374.00	-0.003052
375.00	-0.003174
376.00	-0.002930
377.00	-0.003662
378.00	-0.003540
379.00	-0.003052
380.00	-0.003540
381.00	-0.003174
382.00	-0.003540
383.00	-0.003052
384.00	-0.003174
385.00	-0.002686
386.00	-0.003052
387.00	-0.002319
388.00	-0.002441
389.00	-0.002930
390.00	-0.002563
