Wavelength nm.	RawData ...
190.00	0.595459
191.00	0.575562
192.00	0.546997
193.00	0.510376
194.00	0.467896
195.00	0.414429
196.00	0.360840
197.00	0.310059
198.00	0.255981
199.00	0.210815
200.00	0.172363
201.00	0.135376
202.00	0.110229
203.00	0.092163
204.00	0.078735
205.00	0.071533
206.00	0.065674
207.00	0.062866
208.00	0.062866
209.00	0.062622
210.00	0.064331
211.00	0.064697
212.00	0.066772
213.00	0.066895
214.00	0.068726
215.00	0.071045
216.00	0.072876
217.00	0.075073
218.00	0.077026
219.00	0.078979
220.00	0.080933
221.00	0.082031
222.00	0.081543
223.00	0.080811
224.00	0.078857
225.00	0.075317
226.00	0.071167
227.00	0.066162
228.00	0.060547
229.00	0.054810
230.00	0.049438
231.00	0.044434
232.00	0.039307
233.00	0.034790
234.00	0.031006
235.00	0.028076
236.00	0.025757
237.00	0.024170
238.00	0.022583
239.00	0.021484
240.00	0.020020
241.00	0.019897
242.00	0.020142
243.00	0.019775
244.00	0.019165
245.00	0.018799
246.00	0.018921
247.00	0.018555
248.00	0.018311
249.00	0.017822
250.00	0.017456
251.00	0.016968
252.00	0.016846
253.00	0.015991
254.00	0.015137
255.00	0.015137
256.00	0.014526
257.00	0.013428
258.00	0.012817
259.00	0.012207
260.00	0.011108
261.00	0.010498
262.00	0.010376
263.00	0.010010
264.00	0.010620
265.00	0.011475
266.00	0.011475
267.00	0.013184
268.00	0.013428
269.00	0.014648
270.00	0.016235
271.00	0.017578
272.00	0.019043
273.00	0.020630
274.00	0.022095
275.00	0.023315
276.00	0.025391
277.00	0.027588
278.00	0.029053
279.00	0.030762
280.00	0.032715
281.00	0.035278
282.00	0.036865
283.00	0.037964
284.00	0.039551
285.00	0.040039
286.00	0.041138
287.00	0.041382
288.00	0.041626
289.00	0.041016
290.00	0.040283
291.00	0.039551
292.00	0.038086
293.00	0.036987
294.00	0.035400
295.00	0.033691
296.00	0.031250
297.00	0.028931
298.00	0.026245
299.00	0.023926
300.00	0.020874
301.00	0.017944
302.00	0.014893
303.00	0.012085
304.00	0.009277
305.00	0.007568
306.00	0.005493
307.00	0.003296
308.00	0.001953
309.00	0.000732
310.00	-0.000366
311.00	-0.000244
312.00	-0.001221
313.00	-0.001709
314.00	-0.001709
315.00	-0.002563
316.00	-0.001953
317.00	-0.002197
318.00	-0.002563
319.00	-0.002441
320.00	-0.002441
321.00	-0.002563
322.00	-0.002563
323.00	-0.002686
324.00	-0.002197
325.00	-0.002441
326.00	-0.002563
327.00	-0.002441
328.00	-0.000366
329.00	-0.001587
330.00	-0.002075
331.00	-0.002563
332.00	-0.001953
333.00	-0.002441
334.00	-0.002563
335.00	-0.002563
336.00	-0.002563
337.00	-0.002441
338.00	-0.002441
339.00	-0.002197
340.00	-0.002808
341.00	-0.002686
342.00	-0.002441
343.00	-0.002686
344.00	-0.002808
345.00	-0.002563
346.00	-0.003052
347.00	-0.003052
348.00	-0.002319
349.00	-0.002197
350.00	-0.002686
351.00	-0.002319
352.00	-0.002197
353.00	-0.002441
354.00	-0.002197
355.00	-0.002686
356.00	-0.002563
357.00	-0.001587
358.00	-0.001953
359.00	-0.001953
360.00	-0.001221
361.00	-0.001465
362.00	-0.001465
363.00	-0.001831
364.00	-0.002075
365.00	0.000732
366.00	-0.001953
367.00	-0.001587
368.00	-0.001465
369.00	-0.001709
370.00	-0.001709
371.00	-0.001221
372.00	-0.001709
373.00	-0.002075
374.00	-0.001343
375.00	-0.001221
376.00	-0.001953
377.00	-0.001709
378.00	-0.001709
379.00	-0.001343
380.00	-0.001587
381.00	-0.001465
382.00	-0.001709
383.00	-0.001343
384.00	-0.001343
385.00	-0.001099
386.00	-0.001465
387.00	-0.000977
388.00	-0.001587
389.00	-0.001465
390.00	-0.001343
391.00	-0.000854
392.00	-0.001221
393.00	-0.000854
394.00	-0.001221
395.00	-0.000854
396.00	-0.000854
397.00	-0.000732
398.00	-0.001099
399.00	-0.000732
400.00	-0.001099
401.00	-0.000854
402.00	-0.000854
403.00	-0.000610
404.00	-0.000610
405.00	-0.000488
406.00	-0.000732
407.00	-0.000488
408.00	-0.000732
409.00	-0.000732
410.00	-0.000732
411.00	-0.000488
412.00	-0.000732
413.00	-0.000610
414.00	-0.000732
415.00	-0.000488
416.00	-0.000610
417.00	-0.000977
418.00	-0.000366
419.00	-0.000977
420.00	-0.000732
421.00	-0.000732
422.00	-0.000488
423.00	-0.000488
424.00	-0.000610
425.00	-0.000366
426.00	-0.000366
427.00	-0.000488
428.00	-0.000610
429.00	-0.000610
430.00	-0.000366
431.00	-0.000854
432.00	-0.000366
433.00	-0.000244
434.00	-0.000122
435.00	-0.000122
436.00	-0.000122
437.00	0.000000
438.00	0.000000
439.00	0.000122
440.00	0.000122
441.00	0.000244
442.00	0.000244
443.00	0.000488
444.00	0.000244
445.00	0.000244
446.00	0.000122
447.00	0.000122
448.00	0.000000
449.00	-0.000244
450.00	-0.000244
451.00	-0.000488
452.00	-0.000732
453.00	-0.000854
454.00	-0.000610
455.00	-0.000977
456.00	-0.000854
457.00	-0.000244
458.00	-0.000488
459.00	-0.000854
460.00	-0.000610
461.00	-0.000610
462.00	-0.000244
463.00	-0.000244
464.00	-0.000122
465.00	-0.000244
466.00	-0.000122
467.00	0.000000
468.00	-0.000244
469.00	-0.000244
470.00	-0.000244
471.00	-0.000122
472.00	-0.000366
473.00	-0.000488
474.00	-0.000366
475.00	-0.000122
476.00	-0.000610
477.00	-0.000488
478.00	-0.000122
479.00	-0.000244
480.00	-0.000244
481.00	-0.000366
482.00	-0.000244
483.00	-0.000244
484.00	-0.000244
485.00	-0.000366
486.00	-0.000244
487.00	-0.000244
488.00	-0.000366
489.00	-0.000244
490.00	0.000000
491.00	-0.000122
492.00	-0.000244
493.00	-0.000122
494.00	0.000000
495.00	-0.000122
496.00	-0.000122
497.00	-0.000122
498.00	-0.000122
499.00	0.000000
500.00	0.000000
501.00	0.000000
502.00	0.000000
503.00	0.000000
504.00	-0.000122
505.00	-0.000122
506.00	0.000000
507.00	0.000000
508.00	0.000000
509.00	0.000000
510.00	0.000000
511.00	0.000000
512.00	-0.000122
513.00	0.000000
514.00	0.000000
515.00	0.000000
516.00	0.000000
517.00	0.000000
518.00	0.000000
519.00	0.000000
520.00	0.000000
521.00	0.000000
522.00	0.000000
523.00	0.000000
524.00	-0.000122
525.00	0.000000
526.00	0.000000
527.00	0.000000
528.00	0.000000
529.00	0.000000
530.00	0.000000
531.00	0.000000
532.00	0.000000
533.00	0.000000
534.00	0.000122
535.00	0.000000
536.00	0.000000
537.00	-0.000366
538.00	-0.000610
539.00	-0.000366
540.00	-0.000244
541.00	-0.000366
542.00	-0.000488
543.00	-0.000366
544.00	-0.000366
545.00	-0.000366
546.00	-0.000244
547.00	-0.000366
548.00	-0.000122
549.00	-0.000122
550.00	0.000000
551.00	-0.000122
552.00	0.000000
553.00	0.000000
554.00	-0.000122
555.00	0.000000
556.00	0.000000
557.00	0.000000
558.00	0.000000
559.00	-0.000122
560.00	-0.000122
561.00	0.000000
562.00	0.000000
563.00	0.000000
564.00	0.000000
565.00	0.000000
566.00	-0.000122
567.00	0.000000
568.00	-0.000122
569.00	0.000000
570.00	0.000000
571.00	0.000000
572.00	-0.000122
573.00	0.000000
574.00	0.000000
575.00	0.000000
576.00	0.000000
577.00	-0.000122
578.00	0.000000
579.00	0.000000
580.00	-0.000122
581.00	0.000000
582.00	0.000000
583.00	-0.000244
584.00	-0.000244
585.00	0.000000
586.00	-0.000122
587.00	0.000000
588.00	0.000000
589.00	-0.000122
590.00	0.000000
591.00	-0.000122
592.00	0.000000
593.00	-0.000122
594.00	0.000000
595.00	0.000000
596.00	0.000000
597.00	0.000000
598.00	0.000000
599.00	0.000000
600.00	0.000000
601.00	0.000000
602.00	-0.000122
603.00	0.000000
604.00	0.000000
605.00	0.000000
606.00	0.000000
607.00	-0.000122
608.00	0.000000
609.00	0.000000
610.00	0.000000
