Wavelength nm.	RawData ...
200.00	1.670166
201.00	1.432617
202.00	1.241943
203.00	1.107788
204.00	0.998657
205.00	0.926758
206.00	0.881226
207.00	0.854614
208.00	0.844604
209.00	0.842651
210.00	0.847778
211.00	0.854492
212.00	0.862793
213.00	0.870605
214.00	0.880371
215.00	0.892700
216.00	0.907104
217.00	0.926514
218.00	0.948975
219.00	0.970093
220.00	0.984741
221.00	0.988281
222.00	0.979980
223.00	0.954224
224.00	0.909790
225.00	0.851685
226.00	0.783203
227.00	0.700073
228.00	0.613525
229.00	0.523315
230.00	0.440308
231.00	0.365967
232.00	0.289307
233.00	0.222168
234.00	0.164185
235.00	0.114014
236.00	0.073853
237.00	0.041504
238.00	0.010986
239.00	-0.014038
240.00	-0.034912
241.00	-0.050659
242.00	-0.062378
243.00	-0.073120
244.00	-0.082153
245.00	-0.089111
246.00	-0.094360
247.00	-0.097656
248.00	-0.100464
249.00	-0.102783
250.00	-0.103149
251.00	-0.103394
252.00	-0.102539
253.00	-0.100098
254.00	-0.097412
255.00	-0.093872
256.00	-0.089722
257.00	-0.085327
258.00	-0.079468
259.00	-0.072388
260.00	-0.064453
261.00	-0.056030
262.00	-0.046509
263.00	-0.034790
264.00	-0.022949
265.00	-0.008545
266.00	0.005615
267.00	0.020630
268.00	0.038330
269.00	0.057373
270.00	0.077881
271.00	0.098755
272.00	0.120239
273.00	0.143921
274.00	0.167969
275.00	0.193970
276.00	0.221436
277.00	0.249390
278.00	0.274780
279.00	0.301636
280.00	0.328979
281.00	0.354370
282.00	0.376465
283.00	0.394775
284.00	0.413574
285.00	0.428345
286.00	0.438843
287.00	0.445923
288.00	0.448120
289.00	0.446167
290.00	0.438232
291.00	0.425659
292.00	0.409668
293.00	0.392334
294.00	0.367920
295.00	0.341064
296.00	0.310059
297.00	0.277466
298.00	0.243774
299.00	0.203369
300.00	0.161133
301.00	0.120605
302.00	0.081421
303.00	0.047607
304.00	0.012939
305.00	-0.017578
306.00	-0.041504
307.00	-0.066040
308.00	-0.083496
309.00	-0.099609
310.00	-0.111084
311.00	-0.119507
312.00	-0.125732
313.00	-0.129517
314.00	-0.132935
315.00	-0.134888
316.00	-0.136963
317.00	-0.137817
318.00	-0.138550
319.00	-0.139160
320.00	-0.139771
321.00	-0.139648
322.00	-0.139526
323.00	-0.140137
324.00	-0.139893
325.00	-0.140015
326.00	-0.140137
327.00	-0.140259
328.00	-0.140137
329.00	-0.134399
330.00	-0.137573
331.00	-0.139648
332.00	-0.140015
333.00	-0.140137
334.00	-0.140381
335.00	-0.140381
336.00	-0.139404
337.00	-0.139771
338.00	-0.139893
339.00	-0.139771
340.00	-0.140137
341.00	-0.139893
342.00	-0.139893
343.00	-0.139771
344.00	-0.139893
345.00	-0.139526
346.00	-0.139526
347.00	-0.140015
348.00	-0.139771
349.00	-0.139893
350.00	-0.140625
351.00	-0.140503
352.00	-0.139648
353.00	-0.140137
354.00	-0.139648
355.00	-0.140015
356.00	-0.140747
357.00	-0.139771
358.00	-0.140015
359.00	-0.139893
360.00	-0.139771
361.00	-0.140137
362.00	-0.140869
363.00	-0.140259
364.00	-0.140503
365.00	-0.135742
366.00	-0.135620
367.00	-0.135864
368.00	-0.135132
369.00	-0.135498
370.00	-0.135742
371.00	-0.135620
372.00	-0.134888
373.00	-0.135742
374.00	-0.134888
375.00	-0.135376
376.00	-0.135132
377.00	-0.135620
378.00	-0.135498
379.00	-0.135254
380.00	-0.135376
381.00	-0.135498
382.00	-0.135498
383.00	-0.135498
384.00	-0.135010
385.00	-0.135010
386.00	-0.135620
387.00	-0.135254
388.00	-0.135376
389.00	-0.135864
390.00	-0.135376
391.00	-0.135010
392.00	-0.135010
393.00	-0.135376
394.00	-0.135498
395.00	-0.135498
396.00	-0.135132
397.00	-0.135132
398.00	-0.135376
399.00	-0.135132
400.00	-0.135132
401.00	-0.135376
402.00	-0.135254
403.00	-0.135254
404.00	-0.135132
405.00	-0.135376
406.00	-0.135376
407.00	-0.135010
408.00	-0.134888
409.00	-0.135010
410.00	-0.135132
411.00	-0.135254
412.00	-0.135132
413.00	-0.135376
414.00	-0.135376
415.00	-0.135010
416.00	-0.135010
417.00	-0.135376
418.00	-0.135376
419.00	-0.135132
420.00	-0.135010
421.00	-0.135376
422.00	-0.135376
423.00	-0.135132
424.00	-0.135010
425.00	-0.135132
426.00	-0.135254
427.00	-0.135010
428.00	-0.134888
429.00	-0.135254
430.00	-0.135010
431.00	-0.135132
432.00	-0.134766
433.00	-0.135132
434.00	-0.134888
435.00	-0.135010
436.00	-0.134644
437.00	-0.134766
438.00	-0.134888
439.00	-0.134644
440.00	-0.134766
441.00	-0.134644
442.00	-0.134766
443.00	-0.134766
444.00	-0.134644
445.00	-0.134766
446.00	-0.134888
447.00	-0.135010
448.00	-0.135132
449.00	-0.135010
450.00	-0.135376
451.00	-0.135498
452.00	-0.135376
453.00	-0.135498
454.00	-0.135742
455.00	-0.135498
456.00	-0.135376
457.00	-0.135376
458.00	-0.135498
459.00	-0.135376
460.00	-0.135254
461.00	-0.135254
462.00	-0.135498
463.00	-0.135376
464.00	-0.135132
465.00	-0.135376
466.00	-0.135254
467.00	-0.135254
468.00	-0.135376
469.00	-0.135498
470.00	-0.135498
471.00	-0.135620
472.00	-0.135498
473.00	-0.135620
474.00	-0.135620
475.00	-0.135742
476.00	-0.135620
477.00	-0.135742
478.00	-0.135742
479.00	-0.135620
480.00	-0.135498
481.00	-0.135742
482.00	-0.135620
483.00	-0.135742
484.00	-0.135498
485.00	-0.135620
486.00	-0.135620
487.00	-0.135498
488.00	-0.135376
489.00	-0.135620
490.00	-0.135620
491.00	-0.135498
492.00	-0.135132
493.00	-0.135376
494.00	-0.135376
495.00	-0.135498
496.00	-0.135254
497.00	-0.135376
498.00	-0.135742
499.00	-0.135498
500.00	-0.135254
