Wavelength nm.	RawData ...
190.00	2.132080
191.00	2.270264
192.00	2.359497
193.00	2.449341
194.00	2.466064
195.00	2.426636
196.00	2.288208
197.00	2.109253
198.00	1.912109
199.00	1.752319
200.00	1.630127
201.00	1.527100
202.00	1.464355
203.00	1.432373
204.00	1.418213
205.00	1.420532
206.00	1.430786
207.00	1.449585
208.00	1.466675
209.00	1.479858
210.00	1.482300
211.00	1.475586
212.00	1.461426
213.00	1.437256
214.00	1.406006
215.00	1.369629
216.00	1.326416
217.00	1.265015
218.00	1.188110
219.00	1.091431
220.00	0.984131
221.00	0.872803
222.00	0.742920
223.00	0.617554
224.00	0.499512
225.00	0.397827
226.00	0.315674
227.00	0.240479
228.00	0.180420
229.00	0.133545
230.00	0.098877
231.00	0.074219
232.00	0.054565
233.00	0.041138
234.00	0.032104
235.00	0.026489
236.00	0.022827
237.00	0.021606
238.00	0.021118
239.00	0.021851
240.00	0.023315
241.00	0.026001
242.00	0.028442
243.00	0.032349
244.00	0.036621
245.00	0.042236
246.00	0.048706
247.00	0.055176
248.00	0.062744
249.00	0.071777
250.00	0.081909
251.00	0.092407
252.00	0.104004
253.00	0.117554
254.00	0.132446
255.00	0.148560
256.00	0.164063
257.00	0.179321
258.00	0.198486
259.00	0.218628
260.00	0.238525
261.00	0.258667
262.00	0.276489
263.00	0.294312
264.00	0.311279
265.00	0.328125
266.00	0.343018
267.00	0.356445
268.00	0.367310
269.00	0.372681
270.00	0.369995
271.00	0.361206
272.00	0.350220
273.00	0.337158
274.00	0.323975
275.00	0.306885
276.00	0.282471
277.00	0.250488
278.00	0.213379
279.00	0.169189
280.00	0.126343
281.00	0.089600
282.00	0.060303
283.00	0.041260
284.00	0.026001
285.00	0.015869
286.00	0.009033
287.00	0.004761
288.00	0.002686
289.00	0.000610
290.00	-0.000244
291.00	-0.000854
292.00	-0.001953
293.00	-0.002075
294.00	-0.002197
295.00	-0.001831
296.00	-0.002075
297.00	-0.001709
298.00	-0.001465
299.00	-0.001709
300.00	-0.001831
301.00	-0.001465
302.00	-0.000977
303.00	-0.001709
304.00	-0.001953
305.00	-0.001465
306.00	-0.001831
307.00	-0.002319
308.00	-0.002930
309.00	-0.002197
310.00	-0.002319
311.00	-0.002563
312.00	-0.002686
313.00	-0.002075
314.00	-0.002563
315.00	-0.002563
316.00	-0.002319
317.00	-0.001831
318.00	-0.002441
319.00	-0.001709
320.00	-0.002075
321.00	-0.001831
322.00	-0.002075
323.00	-0.002319
324.00	-0.002686
325.00	-0.001831
326.00	-0.001465
327.00	0.000000
328.00	-0.001709
329.00	-0.001953
330.00	-0.001709
331.00	-0.002075
332.00	-0.001709
333.00	-0.002075
334.00	-0.001343
335.00	-0.001465
336.00	-0.001831
337.00	-0.001465
338.00	-0.001465
339.00	-0.001709
340.00	-0.001343
341.00	-0.000977
342.00	-0.001221
343.00	-0.001343
344.00	-0.001465
345.00	-0.001099
346.00	-0.000610
347.00	-0.000854
348.00	-0.000732
349.00	-0.000488
350.00	-0.000732
351.00	-0.000488
352.00	0.000000
353.00	0.000000
354.00	-0.000122
355.00	0.000000
356.00	0.000000
357.00	0.000732
358.00	0.000488
359.00	0.000366
360.00	0.000977
361.00	0.001343
362.00	0.000488
363.00	0.000732
364.00	0.001831
365.00	-0.001221
366.00	-0.007324
367.00	-0.006836
368.00	-0.006836
369.00	-0.007202
370.00	-0.006714
371.00	-0.006226
372.00	-0.006836
373.00	-0.006348
374.00	-0.005737
375.00	-0.005859
376.00	-0.005493
377.00	-0.006348
378.00	-0.006348
379.00	-0.005615
380.00	-0.006104
381.00	-0.006104
382.00	-0.005859
383.00	-0.005615
384.00	-0.005859
385.00	-0.005127
386.00	-0.005615
387.00	-0.005005
388.00	-0.004883
389.00	-0.005493
390.00	-0.005005
391.00	-0.004761
392.00	-0.005371
393.00	-0.005249
394.00	-0.005005
395.00	-0.004883
396.00	-0.004639
397.00	-0.004395
398.00	-0.004761
399.00	-0.004517
400.00	-0.004517
401.00	-0.004517
402.00	-0.004517
403.00	-0.004028
404.00	-0.004272
405.00	-0.004272
406.00	-0.004028
407.00	-0.004150
408.00	-0.004150
409.00	-0.004028
410.00	-0.004272
411.00	-0.003906
412.00	-0.004028
413.00	-0.004028
414.00	-0.003784
415.00	-0.004028
416.00	-0.004028
417.00	-0.004517
418.00	-0.004395
419.00	-0.004639
420.00	-0.004639
421.00	-0.004761
422.00	-0.004150
423.00	-0.004150
424.00	-0.004517
425.00	-0.004272
426.00	-0.004150
427.00	-0.004395
428.00	-0.004028
429.00	-0.004028
430.00	-0.003662
431.00	-0.003906
432.00	-0.003906
433.00	-0.003418
434.00	-0.003174
435.00	-0.003418
436.00	-0.003296
437.00	-0.002930
438.00	-0.002808
439.00	-0.002686
440.00	-0.002441
441.00	-0.002563
442.00	-0.002441
443.00	-0.002319
444.00	-0.002197
445.00	-0.002197
446.00	-0.002441
447.00	-0.002686
448.00	-0.002930
449.00	-0.003052
450.00	-0.003296
451.00	-0.003906
452.00	-0.003906
453.00	-0.003662
454.00	-0.004028
455.00	-0.004272
456.00	-0.004150
457.00	-0.003662
458.00	-0.003784
459.00	-0.004150
460.00	-0.004028
461.00	-0.003662
462.00	-0.003418
463.00	-0.003418
464.00	-0.003418
465.00	-0.003418
466.00	-0.003174
467.00	-0.002930
468.00	-0.003174
469.00	-0.003540
470.00	-0.003418
471.00	-0.003662
472.00	-0.003784
473.00	-0.003906
474.00	-0.003662
475.00	-0.004028
476.00	-0.003906
477.00	-0.003784
478.00	-0.003418
479.00	-0.003662
480.00	-0.003540
481.00	-0.003540
482.00	-0.003540
483.00	-0.003540
484.00	-0.003540
485.00	-0.003540
486.00	-0.003296
487.00	-0.003662
488.00	-0.003662
489.00	-0.003540
490.00	-0.003418
491.00	-0.003784
492.00	-0.003540
493.00	-0.003662
494.00	-0.003052
495.00	-0.002930
496.00	-0.003540
497.00	-0.003418
498.00	-0.003418
499.00	-0.003540
500.00	-0.003540
501.00	-0.003296
502.00	-0.003052
503.00	-0.003296
504.00	-0.003418
505.00	-0.003418
506.00	-0.003296
507.00	-0.003418
508.00	-0.003174
509.00	-0.003174
510.00	-0.003174
511.00	-0.003174
512.00	-0.003296
513.00	-0.003052
514.00	-0.003174
515.00	-0.002930
516.00	-0.002808
517.00	-0.002930
518.00	-0.003174
519.00	-0.003174
520.00	-0.003296
521.00	-0.003296
522.00	-0.003052
523.00	-0.003174
524.00	-0.003052
525.00	-0.003052
526.00	-0.003174
527.00	-0.003052
528.00	-0.003052
529.00	-0.002930
530.00	-0.002686
531.00	-0.002808
532.00	-0.002930
533.00	-0.003052
534.00	-0.002930
535.00	-0.003052
536.00	-0.003296
537.00	-0.004028
538.00	-0.004272
539.00	-0.004028
540.00	-0.003784
541.00	-0.003906
542.00	-0.004028
543.00	-0.004028
544.00	-0.003784
545.00	-0.003662
546.00	-0.003906
547.00	-0.003906
548.00	-0.003296
549.00	-0.003906
550.00	-0.003662
551.00	-0.003662
552.00	-0.003662
553.00	-0.003662
554.00	-0.003784
555.00	-0.003662
556.00	-0.003906
557.00	-0.003784
558.00	-0.003784
559.00	-0.003784
560.00	-0.003540
561.00	-0.003540
562.00	-0.003906
563.00	-0.003784
564.00	-0.003784
565.00	-0.003540
566.00	-0.003662
567.00	-0.003784
568.00	-0.003784
569.00	-0.003540
570.00	-0.003662
571.00	-0.003784
572.00	-0.003662
573.00	-0.003540
574.00	-0.003540
575.00	-0.003540
576.00	-0.003662
577.00	-0.003784
578.00	-0.003540
579.00	-0.003418
580.00	-0.003418
581.00	-0.003540
582.00	-0.003662
583.00	-0.003540
584.00	-0.003418
585.00	-0.003540
586.00	-0.003540
587.00	-0.003540
588.00	-0.003784
589.00	-0.003418
590.00	-0.003418
591.00	-0.003662
592.00	-0.003418
593.00	-0.003296
594.00	-0.003418
595.00	-0.003540
596.00	-0.003418
597.00	-0.003296
598.00	-0.003174
599.00	-0.003296
600.00	-0.003540
601.00	-0.003418
602.00	-0.003540
603.00	-0.003418
604.00	-0.003540
605.00	-0.003174
606.00	-0.003418
607.00	-0.003052
608.00	-0.003174
609.00	-0.003174
610.00	-0.003418
611.00	-0.003540
612.00	-0.003418
613.00	-0.003296
614.00	-0.003296
615.00	-0.003418
616.00	-0.003296
617.00	-0.003296
618.00	-0.003418
619.00	-0.003296
620.00	-0.003296
621.00	-0.003296
622.00	-0.003296
623.00	-0.003296
624.00	-0.003296
625.00	-0.003418
626.00	-0.003174
627.00	-0.003052
628.00	-0.003296
629.00	-0.003296
630.00	-0.003418
631.00	-0.003540
632.00	-0.003418
633.00	-0.003418
634.00	-0.003540
635.00	-0.003662
636.00	-0.003906
637.00	-0.003662
638.00	-0.004028
639.00	-0.003906
640.00	-0.003662
641.00	-0.003662
642.00	-0.003662
643.00	-0.003784
644.00	-0.003540
645.00	-0.003418
646.00	-0.003296
647.00	-0.003174
648.00	-0.003174
649.00	-0.003174
650.00	-0.003174
651.00	-0.003296
652.00	-0.003174
653.00	-0.003174
654.00	-0.003174
655.00	-0.003174
656.00	-0.003418
657.00	-0.003174
658.00	-0.003418
659.00	-0.003662
660.00	-0.003296
661.00	-0.003174
662.00	-0.003418
663.00	-0.003418
664.00	-0.003296
665.00	-0.003296
666.00	-0.003296
667.00	-0.003418
668.00	-0.003296
669.00	-0.003296
670.00	-0.003296
671.00	-0.003418
672.00	-0.003418
673.00	-0.003418
674.00	-0.003540
675.00	-0.003662
676.00	-0.003296
677.00	-0.003418
678.00	-0.003418
679.00	-0.003418
680.00	-0.003296
681.00	-0.003296
682.00	-0.003418
683.00	-0.003418
684.00	-0.003418
685.00	-0.003296
686.00	-0.003418
687.00	-0.003418
688.00	-0.003418
689.00	-0.003418
690.00	-0.003296
691.00	-0.003296
692.00	-0.003174
693.00	-0.003296
694.00	-0.003296
695.00	-0.003418
696.00	-0.003418
697.00	-0.003174
698.00	-0.003418
699.00	-0.003296
700.00	-0.003174
701.00	-0.003296
702.00	-0.003174
703.00	-0.003174
704.00	-0.003052
705.00	-0.003296
706.00	-0.003174
707.00	-0.003174
708.00	-0.003296
709.00	-0.003174
710.00	-0.003418
711.00	-0.003296
712.00	-0.003296
713.00	-0.003296
714.00	-0.003174
715.00	-0.003296
716.00	-0.003296
717.00	-0.003296
718.00	-0.003418
719.00	-0.003296
720.00	-0.003296
721.00	-0.003418
722.00	-0.003296
723.00	-0.003174
724.00	-0.003296
725.00	-0.003296
726.00	-0.003296
727.00	-0.003296
728.00	-0.003296
729.00	-0.003296
730.00	-0.003418
731.00	-0.003296
732.00	-0.003418
733.00	-0.003296
734.00	-0.003296
735.00	-0.003296
736.00	-0.003418
737.00	-0.003418
738.00	-0.003296
739.00	-0.003174
740.00	-0.003418
741.00	-0.003296
742.00	-0.003296
743.00	-0.003540
744.00	-0.003418
745.00	-0.003418
746.00	-0.003418
747.00	-0.003418
748.00	-0.003296
749.00	-0.003296
750.00	-0.003418
751.00	-0.003418
752.00	-0.003418
753.00	-0.003418
754.00	-0.003540
755.00	-0.003418
756.00	-0.003418
757.00	-0.003418
758.00	-0.003418
759.00	-0.003296
760.00	-0.003540
761.00	-0.003540
762.00	-0.003418
763.00	-0.003540
764.00	-0.003662
765.00	-0.003540
766.00	-0.003662
767.00	-0.003784
768.00	-0.003662
769.00	-0.003784
770.00	-0.003662
771.00	-0.003540
772.00	-0.003662
773.00	-0.003784
774.00	-0.003662
775.00	-0.003662
776.00	-0.003662
777.00	-0.003784
778.00	-0.003662
779.00	-0.003662
780.00	-0.003662
781.00	-0.003662
782.00	-0.003784
783.00	-0.003906
784.00	-0.003784
785.00	-0.003784
786.00	-0.003784
787.00	-0.003784
788.00	-0.003906
789.00	-0.004028
790.00	-0.003906
791.00	-0.003906
792.00	-0.004028
793.00	-0.003784
794.00	-0.003784
795.00	-0.003906
796.00	-0.004028
797.00	-0.004028
798.00	-0.004028
799.00	-0.003906
800.00	-0.004028
801.00	-0.004150
802.00	-0.004028
803.00	-0.003906
804.00	-0.004150
805.00	-0.004150
806.00	-0.004028
807.00	-0.003906
808.00	-0.004150
809.00	-0.004272
810.00	-0.004150
811.00	-0.004150
812.00	-0.004028
813.00	-0.004272
814.00	-0.004272
815.00	-0.004395
816.00	-0.004150
817.00	-0.004395
818.00	-0.004150
819.00	-0.004028
820.00	-0.004272
821.00	-0.004272
822.00	-0.004395
823.00	-0.004272
824.00	-0.004150
825.00	-0.004272
826.00	-0.004272
827.00	-0.004272
828.00	-0.004150
829.00	-0.004028
830.00	-0.004272
831.00	-0.004272
832.00	-0.004395
833.00	-0.004395
834.00	-0.004395
835.00	-0.004150
836.00	-0.004272
837.00	-0.004272
838.00	-0.004150
839.00	-0.004028
840.00	-0.004150
841.00	-0.004150
842.00	-0.004272
843.00	-0.004272
844.00	-0.004150
845.00	-0.004150
846.00	-0.004028
847.00	-0.004272
848.00	-0.004150
849.00	-0.004150
850.00	-0.004150
851.00	-0.004272
852.00	-0.004150
853.00	-0.004150
854.00	-0.004150
855.00	-0.004150
856.00	-0.004150
857.00	-0.004150
858.00	-0.004150
859.00	-0.004150
860.00	-0.004028
861.00	-0.004028
862.00	-0.004028
863.00	-0.004028
864.00	-0.004272
865.00	-0.004028
866.00	-0.004028
867.00	-0.004028
868.00	-0.004028
869.00	-0.003906
870.00	-0.004028
871.00	-0.003906
872.00	-0.004028
