Wavelength nm.	RawData ...
190.00	2.020020
191.00	2.138428
192.00	2.196777
193.00	2.148315
194.00	1.969727
195.00	1.704224
196.00	1.446533
197.00	1.241455
198.00	1.066650
199.00	0.936401
200.00	0.846680
201.00	0.775024
202.00	0.732666
203.00	0.711182
204.00	0.703369
205.00	0.703491
206.00	0.708862
207.00	0.718506
208.00	0.727661
209.00	0.732544
210.00	0.736206
211.00	0.733032
212.00	0.726074
213.00	0.714233
214.00	0.700195
215.00	0.681763
216.00	0.661255
217.00	0.631836
218.00	0.596069
219.00	0.551880
220.00	0.500732
221.00	0.447266
222.00	0.383545
223.00	0.321045
224.00	0.260620
225.00	0.207275
226.00	0.163696
227.00	0.124634
228.00	0.093384
229.00	0.068604
230.00	0.051270
231.00	0.038452
232.00	0.028564
233.00	0.021973
234.00	0.017700
235.00	0.015015
236.00	0.013428
237.00	0.012573
238.00	0.012695
239.00	0.012939
240.00	0.013428
241.00	0.015137
242.00	0.015747
243.00	0.017334
244.00	0.020142
245.00	0.022827
246.00	0.026367
247.00	0.029541
248.00	0.033081
249.00	0.037720
250.00	0.043213
251.00	0.048096
252.00	0.054077
253.00	0.061157
254.00	0.068237
255.00	0.076660
256.00	0.083740
257.00	0.092163
258.00	0.101196
259.00	0.111328
260.00	0.121216
261.00	0.131226
262.00	0.140137
263.00	0.149170
264.00	0.157104
265.00	0.166016
266.00	0.173462
267.00	0.180176
268.00	0.185303
269.00	0.187622
270.00	0.186890
271.00	0.182373
272.00	0.176758
273.00	0.170166
274.00	0.163574
275.00	0.155029
276.00	0.143311
277.00	0.128296
278.00	0.109863
279.00	0.088013
280.00	0.066528
281.00	0.047607
282.00	0.032715
283.00	0.022583
284.00	0.014526
285.00	0.009521
286.00	0.005981
287.00	0.003784
288.00	0.002808
289.00	0.000977
290.00	0.001099
291.00	0.000610
292.00	0.000122
293.00	0.000000
294.00	0.000244
295.00	0.000366
296.00	0.000244
297.00	0.000366
298.00	0.001099
299.00	0.000610
300.00	0.000488
301.00	0.000977
302.00	0.000366
303.00	0.000732
