Wavelength nm.	RawData ...
200.00	0.723877
201.00	0.648315
202.00	0.606323
203.00	0.584351
204.00	0.574707
205.00	0.575439
206.00	0.580444
207.00	0.588501
208.00	0.599365
209.00	0.605103
210.00	0.608521
211.00	0.605713
212.00	0.599609
213.00	0.588013
214.00	0.572754
215.00	0.555298
216.00	0.534546
217.00	0.508057
218.00	0.470459
219.00	0.426392
220.00	0.377075
221.00	0.324097
222.00	0.260498
223.00	0.196899
224.00	0.135132
225.00	0.079956
226.00	0.035278
227.00	-0.004883
228.00	-0.038940
229.00	-0.064453
230.00	-0.083252
231.00	-0.097046
232.00	-0.107300
233.00	-0.114624
234.00	-0.119019
235.00	-0.122314
236.00	-0.124268
237.00	-0.125000
238.00	-0.125122
239.00	-0.125244
240.00	-0.125000
241.00	-0.123413
242.00	-0.121826
243.00	-0.119995
244.00	-0.118042
245.00	-0.115234
246.00	-0.112671
247.00	-0.109619
248.00	-0.106079
249.00	-0.101685
250.00	-0.096802
251.00	-0.091919
252.00	-0.086548
253.00	-0.079224
254.00	-0.072144
255.00	-0.064575
256.00	-0.057373
257.00	-0.050049
258.00	-0.039917
259.00	-0.030396
260.00	-0.020874
261.00	-0.011108
262.00	-0.001587
263.00	0.007080
264.00	0.015381
265.00	0.023926
266.00	0.031372
267.00	0.038452
268.00	0.044067
269.00	0.047607
270.00	0.047241
271.00	0.043213
272.00	0.038330
273.00	0.032349
274.00	0.025391
275.00	0.017578
276.00	0.007080
277.00	-0.006714
278.00	-0.024292
279.00	-0.046265
280.00	-0.067871
281.00	-0.087646
282.00	-0.102783
283.00	-0.113037
284.00	-0.121094
285.00	-0.127075
286.00	-0.130737
287.00	-0.132690
288.00	-0.133911
289.00	-0.134521
290.00	-0.135254
291.00	-0.135498
292.00	-0.136108
293.00	-0.135864
294.00	-0.136353
295.00	-0.135986
296.00	-0.135986
297.00	-0.136475
298.00	-0.136353
299.00	-0.135742
300.00	-0.135986
301.00	-0.135986
302.00	-0.135986
303.00	-0.135498
304.00	-0.136108
305.00	-0.135986
306.00	-0.135864
307.00	-0.135742
308.00	-0.135986
309.00	-0.136230
310.00	-0.136475
311.00	-0.136230
312.00	-0.135742
313.00	-0.136597
314.00	-0.135986
315.00	-0.135742
316.00	-0.135376
317.00	-0.136475
318.00	-0.136475
319.00	-0.136108
320.00	-0.136108
321.00	-0.136230
322.00	-0.136108
323.00	-0.135864
324.00	-0.135376
325.00	-0.135986
