Wavelength nm.	RawData ...
190.00	-0.010132
191.00	-0.008667
192.00	-0.002441
193.00	0.000977
194.00	0.002930
195.00	0.003906
196.00	0.006714
197.00	0.006836
198.00	0.006958
199.00	0.007690
200.00	0.007202
201.00	0.004883
202.00	0.004639
203.00	0.002808
204.00	0.001587
205.00	0.000488
206.00	-0.000854
207.00	-0.001343
208.00	-0.000610
209.00	-0.000732
210.00	0.000610
211.00	0.000977
212.00	0.002930
213.00	0.003296
214.00	0.004517
215.00	0.006470
216.00	0.007080
217.00	0.008057
218.00	0.008423
219.00	0.009033
220.00	0.009766
221.00	0.010132
222.00	0.010498
223.00	0.010620
224.00	0.010620
225.00	0.011475
226.00	0.011597
227.00	0.011597
228.00	0.011108
229.00	0.010986
230.00	0.010620
231.00	0.010620
232.00	0.009888
233.00	0.009644
234.00	0.009277
235.00	0.008911
236.00	0.008179
237.00	0.008057
238.00	0.007080
239.00	0.006592
240.00	0.005005
241.00	0.004517
242.00	0.004517
243.00	0.003784
244.00	0.002563
245.00	0.001831
246.00	0.002197
247.00	0.002319
248.00	0.002075
249.00	0.002197
250.00	0.002197
251.00	0.001709
252.00	0.002686
253.00	0.002563
254.00	0.003418
255.00	0.004028
256.00	0.005005
257.00	0.005249
258.00	0.006592
259.00	0.007446
260.00	0.007935
261.00	0.008545
262.00	0.009277
263.00	0.009644
264.00	0.011108
265.00	0.012085
266.00	0.011841
267.00	0.012817
268.00	0.012939
269.00	0.013306
270.00	0.013794
271.00	0.013916
272.00	0.013794
273.00	0.014771
274.00	0.014526
275.00	0.013916
276.00	0.013672
277.00	0.013916
278.00	0.013672
279.00	0.013184
280.00	0.013306
281.00	0.013428
282.00	0.013306
283.00	0.013306
284.00	0.013306
285.00	0.013184
286.00	0.013550
287.00	0.012939
288.00	0.012817
289.00	0.012573
290.00	0.012573
291.00	0.012329
292.00	0.011597
293.00	0.012207
294.00	0.012207
295.00	0.012329
296.00	0.012329
297.00	0.012451
298.00	0.012329
299.00	0.012085
300.00	0.011963
301.00	0.012573
302.00	0.012085
303.00	0.011719
304.00	0.011597
305.00	0.011597
306.00	0.011353
307.00	0.010498
308.00	0.010864
309.00	0.010742
310.00	0.010254
311.00	0.010498
312.00	0.010254
313.00	0.009644
314.00	0.010376
315.00	0.009888
316.00	0.010254
317.00	0.010010
318.00	0.009888
319.00	0.009644
320.00	0.010132
321.00	0.010010
322.00	0.009888
323.00	0.010376
324.00	0.010620
325.00	0.009888
326.00	0.009644
327.00	0.009766
328.00	0.009033
329.00	0.010254
330.00	0.009766
331.00	0.009277
332.00	0.010132
333.00	0.009399
334.00	0.009033
335.00	0.009399
336.00	0.009644
337.00	0.009399
338.00	0.009399
339.00	0.009644
340.00	0.009155
341.00	0.009399
342.00	0.009399
343.00	0.008667
344.00	0.008911
345.00	0.009155
346.00	0.008911
347.00	0.008545
348.00	0.009155
349.00	0.009277
350.00	0.009399
351.00	0.009399
352.00	0.009277
353.00	0.009033
354.00	0.009277
355.00	0.008911
356.00	0.008423
357.00	0.009155
358.00	0.009399
359.00	0.008911
360.00	0.009888
361.00	0.009399
362.00	0.009521
363.00	0.009033
364.00	0.008667
365.00	0.006714
366.00	0.002319
367.00	0.003296
368.00	0.003296
369.00	0.002686
370.00	0.003052
371.00	0.003174
372.00	0.002808
373.00	0.002930
374.00	0.003296
375.00	0.003174
376.00	0.002930
377.00	0.002808
378.00	0.002930
379.00	0.003296
380.00	0.002808
381.00	0.002930
382.00	0.003052
383.00	0.003418
384.00	0.003052
385.00	0.003540
386.00	0.002930
387.00	0.003418
388.00	0.002930
389.00	0.002930
390.00	0.002686
391.00	0.003540
392.00	0.003052
393.00	0.003052
394.00	0.003174
395.00	0.003418
396.00	0.003174
397.00	0.003784
398.00	0.003174
399.00	0.003418
400.00	0.003052
401.00	0.003174
402.00	0.003174
403.00	0.003540
404.00	0.003540
405.00	0.003174
406.00	0.003418
407.00	0.003418
408.00	0.003174
409.00	0.003296
